# WebDab output on Thu Oct 19 18:29:31 2023
# Datasource: EMEP/CEIP 2023, Officially reported emission data
# Terms of reference: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/deed.en)
# Emission category: NFR14/NFR19
# Format: ISO2;YEAR;SECTOR;POLLUTANT;UNIT;NUMBER/FLAG
SI;1988;NATIONAL TOTAL;CO;Gg;296.14187959322
CZ;2018;NATIONAL TOTAL;CO;Gg;793.493193506912
US;2013;NATIONAL TOTAL;CO;Gg;51825
MK;2002;NATIONAL TOTAL;CO;Gg;116.104783651881
EU09;2003;NATIONAL TOTAL;CO;Gg;19936.7954953477
MC;2013;NATIONAL TOTAL;CO;Gg;1.61699444300645
NO;1996;NATIONAL TOTAL;CO;Gg;664.2956847595
MK;1995;NATIONAL TOTAL;CO;Gg;125.780602369582
MT;2002;NATIONAL TOTAL;CO;Gg;18.1310805067754
ME;2009;NATIONAL TOTAL;CO;Gg;21.4376674667265
SI;1990;NATIONAL TOTAL;CO;Gg;290.147818537004
FR;2010;NATIONAL TOTAL;CO;Gg;4706.60534978178
CH;1995;NATIONAL TOTAL;CO;Gg;531.8437902654
IS;2019;NATIONAL TOTAL;CO;Gg;105.311640297773
MK;2003;NATIONAL TOTAL;CO;Gg;116.929224132798
LT;1995;NATIONAL TOTAL;CO;Gg;219.38690275407
NO;2018;NATIONAL TOTAL;CO;Gg;408.9114172497
KZ;2016;NATIONAL TOTAL;CO;Gg;1726.67955542244
GE;2011;NATIONAL TOTAL;CO;Gg;87.6260822213249
PT;2020;NATIONAL TOTAL;CO;Gg;254.499346783721
MC;2017;NATIONAL TOTAL;CO;Gg;1.48815715650245
AZ;1995;NATIONAL TOTAL;CO;Gg;64.99983402
KZ;1998;NATIONAL TOTAL;CO;Gg;339.846991184025
NL;2005;NATIONAL TOTAL;CO;Gg;747.326466726
AL;2021;NATIONAL TOTAL;CO;Gg;10.3935269969
EU11;1998;NATIONAL TOTAL;CO;Gg;27448.2048875843
RO;1994;NATIONAL TOTAL;CO;Gg;762.180138476772
RS;1993;NATIONAL TOTAL;CO;Gg;353.829708105068
BG;2020;NATIONAL TOTAL;CO;Gg;260.168799798913
GE;2008;NATIONAL TOTAL;CO;Gg;93.8885924337489
PL;1990;NATIONAL TOTAL;CO;Gg;3659.1108170986
GE;2003;NATIONAL TOTAL;CO;Gg;131.806911490514
SK;1996;NATIONAL TOTAL;CO;Gg;614.71358685652
CA;2018;NATIONAL TOTAL;CO;Gg;5119.15636713887
CY;1995;NATIONAL TOTAL;CO;Gg;39.1120109188329
DK;2021;NATIONAL TOTAL;CO;Gg;192.188063677211
LV;2004;NATIONAL TOTAL;CO;Gg;234.401075283631
EU28;1992;NATIONAL TOTAL;CO;Gg;50513.6040582405
IE;1987;NATIONAL TOTAL;CO;Gg;0
TR;2010;NATIONAL TOTAL;CO;Gg;3400.25180640464
LT;2021;NATIONAL TOTAL;CO;Gg;111.891545752144
FI;1995;NATIONAL TOTAL;CO;Gg;661.7650271214
MC;2005;NATIONAL TOTAL;CO;Gg;2.09201298573591
HR;2007;NATIONAL TOTAL;CO;Gg;396.654394112528
BY;2017;NATIONAL TOTAL;CO;Gg;381.1921
IS;2001;NATIONAL TOTAL;CO;Gg;52.6476280838989
CH;1982;NATIONAL TOTAL;CO;Gg;1082.01137680715
LV;1991;NATIONAL TOTAL;CO;Gg;369.698703070755
EE;2001;NATIONAL TOTAL;CO;Gg;192.321357
MK;2015;NATIONAL TOTAL;CO;Gg;63.1181961504116
EE;2012;NATIONAL TOTAL;CO;Gg;136.764123976
EU09;2012;NATIONAL TOTAL;CO;Gg;12417.2295307548
EU11;2020;NATIONAL TOTAL;CO;Gg;10063.9713101068
EE;2021;NATIONAL TOTAL;CO;Gg;109.394094
BE;2020;NATIONAL TOTAL;CO;Gg;274.084397772908
LT;1996;NATIONAL TOTAL;CO;Gg;233.169529667985
EU27;1999;NATIONAL TOTAL;CO;Gg;37038.3556657311
UA;2004;NATIONAL TOTAL;CO;Gg;1515.73859
EU09;1996;NATIONAL TOTAL;CO;Gg;31827.2489787178
EU09;2018;NATIONAL TOTAL;CO;Gg;10303.1966576668
EU11;1994;NATIONAL TOTAL;CO;Gg;33111.0510459928
SE;2012;NATIONAL TOTAL;CO;Gg;362.059536051574
CZ;2011;NATIONAL TOTAL;CO;Gg;890.511544663504
LT;1991;NATIONAL TOTAL;CO;Gg;434.70313959352
MD;2002;NATIONAL TOTAL;CO;Gg;59.0612781958925
MT;1993;NATIONAL TOTAL;CO;Gg;24.6943220614948
TR;1992;NATIONAL TOTAL;CO;Gg;2090.52407638501
EU15;1996;NATIONAL TOTAL;CO;Gg;32840.6033991554
EE;1995;NATIONAL TOTAL;CO;Gg;214.761524
LI;2020;NATIONAL TOTAL;CO;Gg;0.393647142125456
FR;1980;NATIONAL TOTAL;CO;Gg;13346.2789818819
MT;1998;NATIONAL TOTAL;CO;Gg;23.7038272267083
LI;2012;NATIONAL TOTAL;CO;Gg;0.534345871740586
AL;2016;NATIONAL TOTAL;CO;Gg;26.8315496542
ES;1994;NATIONAL TOTAL;CO;Gg;3609.96004310019
GR;1994;NATIONAL TOTAL;CO;Gg;1149.79293546187
GR;2020;NATIONAL TOTAL;CO;Gg;422.136138320894
EU15;2004;NATIONAL TOTAL;CO;Gg;20716.213868499
CY;2012;NATIONAL TOTAL;CO;Gg;12.4609211225392
SK;2010;NATIONAL TOTAL;CO;Gg;446.789814444716
ME;2013;NATIONAL TOTAL;CO;Gg;14.9992928566848
UA;2015;NATIONAL TOTAL;CO;Gg;1349.03496
EU11;2013;NATIONAL TOTAL;CO;Gg;13646.7488029353
RO;2015;NATIONAL TOTAL;CO;Gg;913.631793948497
DK;1999;NATIONAL TOTAL;CO;Gg;491.518419710083
PT;2015;NATIONAL TOTAL;CO;Gg;309.101802389037
