iso,IEA_ctry,Bond_reg
abw,Other Non-OECD Americas,LAmerica
afg,Other Asia,SandEAsia
ago,Angola,Africa
alb,Albania,EEurope
ant,Netherlands Antilles,LAmerica
are,United Arab Emirates,MiddleEast
arg,Argentina,Argentina
arm,Armenia,FUSSR
arm,Former Soviet Union (if no detail),FUSSR
atg,Other Non-OECD Americas,LAmerica
aus,Australia,AustraliaAndNZ
aut,Austria,WEurope
aze,Azerbaijan,FUSSR
aze,Former Soviet Union (if no detail),FUSSR
bdi,Other Africa,Africa
bel,Belgium,WEurope
ben,Benin,Africa
bfa,Other Africa,Africa
bgd,Bangladesh,SandEAsia
bgr,Bulgaria,EEurope
bhr,Bahrain,MiddleEast
bhs,Other Non-OECD Americas,LAmerica
bih,Former Yugoslavia (if no detail),EEurope
bih,Bosnia and Herzegovina,EEurope
blr,Former Soviet Union (if no detail),FUSSR
blr,Belarus,FUSSR
blz,Other Non-OECD Americas,LAmerica
bmu,Other Non-OECD Americas,WEurope
bol,Bolivia,LAmerica
bra,Brazil,Brazil
brb,Other Non-OECD Americas,LAmerica
brn,Brunei Darussalam,SandEAsia
btn,Other Asia,SandEAsia
bwa,Botswana,Africa
caf,Other Africa,Africa
can,Canada,Canada
che,Switzerland,WEurope
chl,Chile,LAmerica
chn,Peoples Republic of China,ChinaCPA
civ,Cote dIvoire,Africa
cmr,Cameroon,Africa
cod,Democratic Republic of Congo,Africa
cog,Congo,Africa
col,Colombia,LAmerica
com,Other Africa,Africa
cpv,Other Africa,Africa
cri,Costa Rica,LAmerica
cub,Cuba,LAmerica
cym,Other Non-OECD Americas,LAmerica
cyp,Cyprus,WEurope
cze,Czech Republic,EEurope
deu,Germany,WEurope
dji,Other Africa,Africa
dma,Other Non-OECD Americas,LAmerica
dnk,Denmark,WEurope
dom,Dominican Republic,LAmerica
dza,Algeria,Africa
ecu,Ecuador,LAmerica
egy,Egypt,Africa
eri,Eritrea,Africa
esh,Other Africa,Africa
esp,Spain,WEurope
est,Former Soviet Union (if no detail),FUSSR
est,Estonia,FUSSR
eth,Ethiopia,Africa
fin,Finland,WEurope
fji,Other Asia,SandEAsia
flk,Other Non-OECD Americas,LAmerica
fra,France,WEurope
gab,Gabon,Africa
gbr,United Kingdom,WEurope
geo,Georgia,FUSSR
geo,Former Soviet Union (if no detail),FUSSR
gha,Ghana,Africa
gib,Gibraltar,WEurope
gin,Other Africa,Africa
glp,Other Non-OECD Americas,LAmerica
gmb,Other Africa,Africa
gnb,Other Africa,Africa
gnq,Other Africa,Africa
grc,Greece,WEurope
grd,Other Non-OECD Americas,LAmerica
gtm,Guatemala,LAmerica
guf,Other Non-OECD Americas,LAmerica
guy,Other Non-OECD Americas,LAmerica
hkg,"Hong Kong, China",SandEAsia
hnd,Honduras,LAmerica
hrv,Croatia,EEurope
hrv,Former Yugoslavia (if no detail),EEurope
hti,Haiti,LAmerica
hun,Hungary,EEurope
idn,Indonesia,SandEAsia
ind,India,India
irl,Ireland,WEurope
irn,Islamic Republic of Iran,MiddleEast
irq,Iraq,MiddleEast
isl,Iceland,WEurope
isr,Israel,MiddleEast
ita,Italy,WEurope
jam,Jamaica,LAmerica
jor,Jordan,MiddleEast
jpn,Japan,Japan
kaz,Former Soviet Union (if no detail),FUSSR
kaz,Kazakhstan,FUSSR
ken,Kenya,Africa
kgz,Former Soviet Union (if no detail),FUSSR
kgz,Kyrgyzstan,FUSSR
khm,Cambodia,ChinaCPA
kir,Other Asia,SandEAsia
kna,Other Non-OECD Americas,LAmerica
kor,Korea,SKorea
kwt,Kuwait,MiddleEast
lao,Other Asia,SandEAsia
lbn,Lebanon,MiddleEast
lbr,Other Africa,Africa
lby,Libya,Africa
lca,Other Non-OECD Americas,LAmerica
lka,Sri Lanka,SandEAsia
lso,Other Africa,Africa
ltu,Lithuania,FUSSR
ltu,Former Soviet Union (if no detail),FUSSR
lux,Luxembourg,WEurope
lva,Former Soviet Union (if no detail),FUSSR
lva,Latvia,FUSSR
mac,Other Asia,SandEAsia
mar,Morocco,Africa
mda,Former Soviet Union (if no detail),FUSSR
mda,Republic of Moldova,FUSSR
mdg,Other Africa,Africa
mdv,Other Asia,SandEAsia
mex,Mexico,Mexico
mkd,Former Yugoslavia (if no detail),EEurope
mkd,Former Yugoslav Republic of Macedonia,EEurope
mli,Other Africa,Africa
mlt,Malta,WEurope
mmr,Myanmar,SandEAsia
mne,Montenegro,EEurope
mne,Former Yugoslavia (if no detail),EEurope
mng,Mongolia,ChinaCPA
moz,Mozambique,Africa
mrt,Other Africa,Africa
msr,Other Non-OECD Americas,LAmerica
mus,Other Africa,Africa
mwi,Other Africa,Africa
mys,Malaysia,SandEAsia
nam,Namibia,Africa
ncl,Other Asia,SandEAsia
ner,Other Africa,Africa
nga,Nigeria,Africa
nic,Nicaragua,LAmerica
nld,Netherlands,WEurope
nor,Norway,WEurope
npl,Nepal,SandEAsia
nzl,New Zealand,AustraliaAndNZ
omn,Oman,MiddleEast
pak,Pakistan,SandEAsia
pan,Panama,LAmerica
per,Peru,LAmerica
phl,Philippines,SandEAsia
plw,Other Asia,SandEAsia
png,Other Asia,SandEAsia
pol,Poland,EEurope
prk,Dem. Peoples Rep. of Korea,ChinaCPA
prt,Portugal,WEurope
pry,Paraguay,LAmerica
qat,Qatar,MiddleEast
reu,Other Africa,Africa
rou,Romania,EEurope
rus,Russian Federation,FUSSR
rus,Former Soviet Union (if no detail),FUSSR
rwa,Other Africa,Africa
sau,Saudi Arabia,MiddleEast
scg,Serbia and Montenegro,EEurope
sdn,Sudan,Africa
sen,Senegal,Africa
sgp,Singapore,SandEAsia
slb,Other Asia,SandEAsia
sle,Other Africa,Africa
slv,El Salvador,LAmerica
som,Other Africa,Africa
srb,Serbia,EEurope
srb,Former Yugoslavia (if no detail),EEurope
srb (Kosovo),Kosovo,NA
srb (Kosovo),Former Yugoslavia (if no detail),NA
stp,Other Africa,Africa
sur,Other Non-OECD Americas,LAmerica
svk,Slovak Republic,EEurope
svn,Slovenia,EEurope
svn,Former Yugoslavia (if no detail),EEurope
swe,Sweden,WEurope
swz,Other Africa,Africa
syc,Other Africa,Africa
syr,Syrian Arab Republic,MiddleEast
tca,Other Non-OECD Americas,LAmerica
tcd,Other Africa,Africa
tgo,Togo,Africa
tha,Thailand,SandEAsia
tjk,Tajikistan,FUSSR
tjk,Former Soviet Union (if no detail),FUSSR
tkm,Turkmenistan,FUSSR
tkm,Former Soviet Union (if no detail),FUSSR
tls,Other Asia,SandEAsia
ton,Other Asia,SandEAsia
tto,Trinidad and Tobago,LAmerica
tun,Tunisia,Africa
tur,Turkey,WEurope
twn,Chinese Taipei,SandEAsia
tza,United Republic of Tanzania,Africa
uga,Other Africa,Africa
ukr,Ukraine,FUSSR
ukr,Former Soviet Union (if no detail),FUSSR
ury,Uruguay,LAmerica
usa,United States,USA
uzb,Uzbekistan,FUSSR
uzb,Former Soviet Union (if no detail),FUSSR
vct,Other Non-OECD Americas,LAmerica
ven,Venezuela,LAmerica
vgb,Other Non-OECD Americas,LAmerica
vnm,Vietnam,ChinaCPA
vut,Other Asia,SandEAsia
wsm,Other Asia,SandEAsia
yem,Yemen,MiddleEast
zaf,South Africa,Africa
zmb,Zambia,Africa
zwe,Zimbabwe,Africa
