iso,country,iso_proxy,country_proxy
bgd,Bangladesh,ind,India
pak,Pakistan,ind,India
prk,Democratic Peoples Republic of Korea,kor,Republic of Korea
fji,Fiji,mdv,Maldives
fsm,Federated States of Micronesia,mdv,Maldives
kir,Kiribati,mdv,Maldives
ncl,New Caledonia,mdv,Maldives
plw,Palau,mdv,Maldives
png,Papua New Guinea,mdv,Maldives
sgp,Singapore,mdv,Maldives
slb,Soloman Islands,mdv,Maldives
tls,Timor-Leste,mdv,Maldives
ton,Tongo,mdv,Maldives
vut,Vanuatu,mdv,Maldives
wsm,Samoa,mdv,Maldives
cyp,Cyprus,grc,Greece
tur,Turkey,grc,Greece
afg,Afghanistan,ind,India
abw,Aruba,jam,Jamaica
ant,Netherlands Antilles,jam,Jamaica
atg,Antigua and Barbuda,jam,Jamaica
bhs,Bahamas,jam,Jamaica
blz,Belize,jam,Jamaica
bmu,Bermuda,jam,Jamaica
brb,Barbados,jam,Jamaica
cuw,Curacao,jam,Jamaica
cym,Cayman Islands,jam,Jamaica
dma,Dominica,jam,Jamaica
flk,Falkland Islands,jam,Jamaica
glp,Guadeloupe,jam,Jamaica
grd,Grenada,jam,Jamaica
kna,Saint Kitts and Nevis,jam,Jamaica
lca,Saint Lucia,jam,Jamaica
msr,Montserrat,jam,Jamaica
sxm,Sint Maarten,jam,Jamaica
tca,Turks and Caicos Islands,jam,Jamaica
tto,Trinidad and Tobago,jam,Jamaica
vct,Saint Vincent And Grenadines,jam,Jamaica
vgb,British Virgin Islands,jam,Jamaica
pri,Puerto Rico,jam,Jamaica
mac,Macao,chn,China
twn,Chinese Taipei,chn,China
com,Comoros,mar,Morocco
esh,Western Sahara,mar,Morocco
ssd,South Sudan,mar,Morocco
stp,Sao Tome and Principe,mar,Morocco
cze,Czech Republic,csk,Czechoslovakia
svk,Slovakia,csk,Czechoslovakia
srb,Serbia,scg,Serbia and Montenegro
srb (Kosovo),Kosovo,scg,Serbia and Montenegro
mne,Montenegro,scg,Serbia and Montenegro
bih,Bosnia and Herzegovina,yug,Yugoslavia
hrv,Croatia,yug,Yugoslavia
mkd,Macedonia,yug,Yugoslavia
svn,Slovenia,yug,Yugoslavia
