NC_ctry,iso
ALBANIA,alb
ALGERIA,dza
ANGOLA,ago
ARGENTINA,arg
ARMENIA,arm
AUSTRALI,aus
AUSTRIA,aut
AZERBAIJAN,aze
BAHRAIN,bhr
BANGLADESH,bgd
BELARUS,blr
BELGIUM,bel
BENIN,ben
BOLIVIA,bol
BOSNIAHERZ,bih
BOTSWANA,bwa
BRAZIL,bra
BRUNEI,brn
BULGARIA,bgr
CAMBODIA,khm
CAMEROON,cmr
CANADA,can
CHILE,chl
TAIPEI,twn
COLOMBIA,col
CONGO,cog
COSTARICA,cri
COTEIVOIRE,civ
CROATIA,hrv
CUBA,cub
CYPRUS,cyp
CZECH,cze
KOREADPR,prk
CONGOREP,cod
DENMARK,dnk
DOMINICANR,dom
ECUADOR,ecu
EGYPT,egy
ELSALVADOR,slv
ERITREA,eri
ESTONIA,est
ETHIOPIA,eth
FINLAND,fin
FYROM,mkd
FRANCE,fra
GABON,gab
GEORGIA,geo
GERMANY,deu
GHANA,gha
GIBRALTAR,gib
GREECE,grc
GUATEMALA,gtm
HAITI,hti
HONDURAS,hnd
HONGKONG,hkg
HUNGARY,hun
ICELAND,isl
INDIA,ind
INDONESIA,idn
IRAQ,irq
IRELAND,irl
IRAN,irn
ISRAEL,isr
ITALY,ita
JAMAICA,jam
JAPAN,jpn
JORDAN,jor
KAZAKHSTAN,kaz
KENYA,ken
KOREA,kor
KUWAIT,kwt
KYRGYZSTAN,kgz
LATVIA,lva
LEBANON,lbn
LIBYA,lby
LITHUANIA,ltu
LUXEMBOU,lux
MALAYSIA,mys
MALTA,mlt
MEXICO,mex
MONGOLIA,mng
MOROCCO,mar
MOZAMBIQUE,moz
MYANMAR,mmr
NAMIBIA,nam
NEPAL,npl
NETHLAND,nld
NANTILLES,ant
NZ,nzl
NICARAGUA,nic
NIGERIA,nga
NORWAY,nor
OMAN,omn
PAKISTAN,pak
PANAMA,pan
PARAGUAY,pry
CHINA,chn
PERU,per
PHILIPPINE,phl
POLAND,pol
PORTUGAL,prt
QATAR,qat
MOLDOVA,mda
ROMANIA,rou
RUSSIA,rus
SAUDIARABI,sau
SENEGAL,sen
SERBMONT,scg
SINGAPORE,sgp
SLOVAKIA,svk
SLOVENIA,svn
SOUTHAFRIC,zaf
SPAIN,esp
SRILANKA,lka
SUDAN,sdn
SWEDEN,swe
SWITLAND,che
SYRIA,syr
TAJIKISTAN,tjk
THAILAND,tha
TOGO,tgo
TRINIDAD,tto
TUNISIA,tun
TURKEY,tur
TURKMENIST,tkm
UKRAINE,ukr
UAE,are
UK,gbr
TANZANIA,tza
USA,usa
URUGUAY,ury
UZBEKISTAN,uzb
VENEZUELA,ven
VIETNAM,vnm
YEMEN,yem
ZAMBIA,zmb
ZIMBABWE,zwe
