iso,FAO_Country_Code
abw,533
afg,4
ago,24
alb,8
are,784
arg,32
arm,51
asm,16
atg,28
aus,36
aut,40
aze,31
bdi,108
bel,56
ben,204
bfa,854
bgd,50
bgr,100
bhr,48
bhs,44
bih,70
blr,112
blx,58
blz,84
bmu,60
bol,68
bra,76
brb,52
brn,96
btn,64
bwa,72
caf,140
can,124
che,756
chl,152
chn,156
civ,384
cmr,120
cod,180
cog,178
cok,184
col,170
com,174
cpv,132
cri,188
csk,200
cub,192
cym,136
cyp,196
cze,203
deu,276
dji,262
dma,212
dnk,208
dom,214
dza,12
ecu,218
egy,818
eri,232
esh,732
esp,724
est,233
eth,230
eth,231
fin,246
fji,242
flk,238
fra,250
fro,234
fsm,583
gab,266
gbr,826
geo,268
gha,288
gin,324
glp,312
gmb,270
gnb,624
gnq,226
grc,300
grd,308
grl,304
gtm,320
guf,254
gum,316
guy,328
hkg,344
hnd,340
hrv,191
hti,332
hun,348
idn,360
ind,356
irl,372
irn,364
irq,368
isl,352
isr,376
ita,380
jam,388
jor,400
jpn,392
kaz,398
ken,404
kgz,417
khm,116
kir,296
kna,659
kor,410
kwt,414
lao,418
lbn,422
lbr,430
lby,434
lca,662
lie,438
lka,144
lso,426
ltu,440
lux,442
lva,428
mac,446
mar,504
mda,498
mdg,450
mex,484
mkd,807
mli,466
mlt,470
mmr,104
mne,499
mng,496
moz,508
mrt,478
msr,500
mtq,474
mus,480
mwi,454
mys,458
nam,516
ncl,540
ner,562
nga,566
nic,558
niu,570
nld,528
nor,578
npl,524
nzl,554
omn,512
pak,586
pan,591
per,604
phl,608
png,598
pol,616
pri,630
prk,408
prt,620
pry,600
pse,275
pyf,258
qat,634
reu,638
rou,642
rus,643
rwa,646
sau,682
sdn,729
sdn,736
sen,686
sgp,702
slb,90
sle,694
slv,222
som,706
spm,666
srb,688
ssd,728
stp,678
sur,740
svk,703
svn,705
swe,752
swz,748
syc,690
syr,760
tcd,148
tgo,768
tha,764
tjk,762
tkl,772
tkm,795
tls,626
ton,776
tto,780
tun,788
tur,792
twn,158
tza,834
uga,800
ukr,804
ury,858
usa,840
ussr,810
uzb,860
vct,670
ven,862
vgb,92
vir,850
vnm,704
vut,548
wlf,876
wsm,882
yem,887
yug,890
yug,891
zaf,710
zmb,894
zwe,716
