Country,iso,Region
 Canada         ,can,Canada      
 Aruba          ,abw,Central Amer
 Netherlands Ant,ant,Central Amer
 Antigua/Barbuda,atg,Central Amer
 Bahamas        ,bhs,Central Amer
 Belize         ,blz,Central Amer
 Bermuda        ,bmu,Central Amer
 Barbados       ,brb,Central Amer
 Costa Rica     ,cri,Central Amer
 Cuba           ,cub,Central Amer
 Cayman Island  ,cym,Central Amer
 Dominica       ,dma,Central Amer
 Dominican Repub,dom,Central Amer
 Guadeloupe     ,glp,Central Amer
 Grenada        ,grd,Central Amer
 Guatemala      ,gtm,Central Amer
 Honduras       ,hnd,Central Amer
 Haiti          ,hti,Central Amer
 Jamaica        ,jam,Central Amer
 St. Kitts-Nevis,kna,Central Amer
 St. Lucia      ,lca,Central Amer
 Mexico         ,mex,Central Amer
 Montserrat (195,msr,Central Amer
 Martinique     ,mtq,Central Amer
 Nicaragua      ,nic,Central Amer
 Panama         ,pan,Central Amer
 El Salvador    ,slv,Central Amer
 Turks & Caicos ,tca,Central Amer
 Trinidad & Toba,tto,Central Amer
 St. Vincent & G,vct,Central Amer
 British Virgin ,vgb,Central Amer
 U.S. Virgin Isl,vir,Central Amer
 Other Latin Ame,,Central Amer
 Panama Canal Zo,,Central Amer
 China          ,chn,East Asia   
 Hong Kong      ,hkg,East Asia   
 Korea: Republic,kor,East Asia   
 Macau          ,mac,East Asia   
 Mongolia       ,mng,East Asia   
 Korea: Dem Peop,prk,East Asia   
 Chinese Taipei ,twn,East Asia   
 United Korea   ,,East Asia   
 Burundi        ,bdi,Eastern Afri
 Comoros        ,com,Eastern Afri
 Djibouti       ,dji,Eastern Afri
 Eritrea        ,eri,Eastern Afri
 Ethiopia       ,eth,Eastern Afri
 Ethiopia (incl ,eth,Eastern Afri
 Kenya          ,ken,Eastern Afri
 Madagascar     ,mdg,Eastern Afri
 Mauritius      ,mus,Eastern Afri
 Reunion        ,reu,Eastern Afri
 Rwanda-Urundi  ,rwa,Eastern Afri
 Sudan          ,sdn,Eastern Afri
 Somalia        ,som,Eastern Afri
 Seychelles     ,syc,Eastern Afri
 Uganda         ,uga,Eastern Afri
 Albania        ,alb,Eastern Euro
 Bulgaria       ,bgr,Eastern Euro
 Bosnia-Herzegov,bih,Eastern Euro
 Czechoslovakia ,csk,Eastern Euro
 Czech Republic ,cze,Eastern Euro
 Croatia        ,hrv,Eastern Euro
 Hungary        ,hun,Eastern Euro
 Macedonia TFYR ,mkd,Eastern Euro
 Poland         ,pol,Eastern Euro
 Romania        ,rou,Eastern Euro
 Serbia and Mont,scg,Eastern Euro
 Slovak Republic,svk,Eastern Euro
 Slovenia       ,svn,Eastern Euro
 Yugoslavia     ,yug,Eastern Euro
 Armenia        ,arm,Former USSR 
 Azerbaijan     ,aze,Former USSR 
 Belarus        ,blr,Former USSR 
 Estonia Islands,est,Former USSR 
 Georgia        ,geo,Former USSR 
 Kazakhstan     ,kaz,Former USSR 
 Kyrgyzstan     ,kgz,Former USSR 
 Lithuania      ,ltu,Former USSR 
 Latvia         ,lva,Former USSR 
 Moldova Rep. of,mda,Former USSR 
 Russian Federat,rus,Former USSR 
 Tajikistan     ,tjk,Former USSR 
 Turkmenistan   ,tkm,Former USSR 
 Ukraine        ,ukr,Former USSR 
 USSR (Former)  ,ussr,Former USSR 
 Uzbekistan     ,uzb,Former USSR 
 Japan          ,jpn,Japan       
 Japan (<1973)  ,jpn,Japan       
 United Arab Emi,are,Middle East 
 Bahrain        ,bhr,Middle East 
 Cyprus         ,cyp,Middle East 
 Iran           ,irn,Middle East 
 Iraq           ,irq,Middle East 
 Israel         ,isr,Middle East 
 Jordan         ,jor,Middle East 
 Kuwait         ,kwt,Middle East 
 Lebanon        ,lbn,Middle East 
 Oman           ,omn,Middle East 
 Qatar          ,qat,Middle East 
 Saudi Arabia   ,sau,Middle East 
 Syrian Arab Rep,syr,Middle East 
 Turkey         ,tur,Middle East 
 Democratic Yeme,yem,Middle East 
 Yemen          ,yem,Middle East 
 Yemen (Former) ,yem,Middle East 
 Algeria        ,dza,Northern Afr
 Egypt          ,egy,Northern Afr
 Western Sahara ,esh,Northern Afr
 Libyan Arab Jam,lby,Northern Afr
 Morocco        ,mar,Northern Afr
 Tunisia        ,tun,Northern Afr
 American Samoa ,asm,Oceania     
 Australia      ,aus,Oceania     
 Cook Islands   ,cok,Oceania     
 Fiji           ,fji,Oceania     
 Micronesia     ,fsm,Oceania     
 Guam           ,gum,Oceania     
 Kiribati       ,kir,Oceania     
 Nauru          ,,Oceania     
 New Caledonia  ,ncl,Oceania     
 Niue           ,niu,Oceania     
 New Zealand    ,nzl,Oceania     
 Papua New Guine,png,Oceania     
 French Polynesi,pyf,Oceania     
 Solomon Islands,slb,Oceania     
 Tonga          ,ton,Oceania     
 Vanuatu        ,vut,Oceania     
 Samoa          ,wsm,Oceania     
 Antarctic Fishe,,Oceania     
 Pacific Islands,,Oceania     
 Wake Island    ,,Oceania     
 Austria        ,aut,OECD Europe 
 Belgium        ,bel,OECD Europe 
 Switzerland    ,che,OECD Europe 
 Germany        ,deu,OECD Europe 
 Germany: Democr,deu,OECD Europe 
 Germany: Federa,deu,OECD Europe 
 Denmark        ,dnk,OECD Europe 
 Spain          ,esp,OECD Europe 
 Finland        ,fin,OECD Europe 
 France         ,fra,OECD Europe 
 Faeroe Islands ,fro,OECD Europe 
 United Kingdom ,gbr,OECD Europe 
 Gibraltar      ,gib,OECD Europe 
 Greece         ,grc,OECD Europe 
 Greenland      ,grl,OECD Europe 
 Ireland        ,irl,OECD Europe 
 Isle of Man    ,irn,OECD Europe 
 Iceland        ,isl,OECD Europe 
 Italy          ,ita,OECD Europe 
 Liechtenstein  ,lie,OECD Europe 
 Luxembourg     ,lux,OECD Europe 
 Malta          ,mlt,OECD Europe 
 Guernsey       ,,OECD Europe 
 Netherlands    ,nld,OECD Europe 
 Norway         ,nor,OECD Europe 
 Portugal       ,prt,OECD Europe 
 Sweden         ,swe,OECD Europe 
 Jersey         ,,OECD Europe 
 Monaco         ,,OECD Europe 
 Argentina      ,arg,South Americ
 Bolivia        ,bol,South Americ
 Brazil         ,bra,South Americ
 Chile          ,chl,South Americ
 Colombia       ,col,South Americ
 Ecuador        ,ecu,South Americ
 Falkland Island,flk,South Americ
 French Guiana  ,guf,South Americ
 Guyana         ,guy,South Americ
 Peru           ,per,South Americ
 Paraguay       ,pry,South Americ
 Suriname       ,sur,South Americ
 Uruguay        ,ury,South Americ
 Venezuela      ,ven,South Americ
 Afghanistan    ,afg,South Asia  
 Bangladesh     ,bgd,South Asia  
 Bhutan         ,btn,South Asia  
 India          ,ind,South Asia  
 Sri Lanka      ,lka,South Asia  
 Maldives       ,mdv,South Asia  
 Nepal          ,npl,South Asia  
 E&W Pakistan   ,pak,South Asia  
 Pakistan       ,pak,South Asia  
 Brunei Darussal,brn,Southeast As
 Indonesia      ,idn,Southeast As
 Cambodia       ,khm,Southeast As
 Lao: Peoples De,lao,Southeast As
 Myanmar        ,mmr,Southeast As
 Malaysia       ,mys,Southeast As
 Philippines    ,phl,Southeast As
 Singapore      ,sgp,Southeast As
 Thailand       ,tha,Southeast As
 Vietnam        ,vnm,Southeast As
 French Indochin,,Southeast As
 Other Asia     ,,Southeast As
 Peninsular Mala,,Southeast As
 Sabah          ,,Southeast As
 Sarawak        ,,Southeast As
 Angola         ,ago,Southern Afr
 Botswana       ,bwa,Southern Afr
 Lesotho        ,lso,Southern Afr
 Mozambique     ,moz,Southern Afr
 Malawi         ,mwi,Southern Afr
 Namibia        ,nam,Southern Afr
 Swaziland      ,swz,Southern Afr
 Tanganyika     ,tza,Southern Afr
 Tanzania       ,tza,Southern Afr
 Zanzibar       ,tza,Southern Afr
 South Africa   ,zaf,Southern Afr
 Zambia         ,zmb,Southern Afr
 Zimbabwe       ,zwe,Southern Afr
 Rhodesia-Nyasal,,Southern Afr
 S. Africa: Cust,,Southern Afr
 Puerto Rico    ,pri,USA         
 St. Pierre & Mi,spm,USA         
 USA            ,usa,USA         
 Benin          ,ben,Western Afri
 Burkina Faso   ,bfa,Western Afri
 Central African,caf,Western Afri
