Country,iso,Region
 Aruba          ,abw,Central Amer
 Afghanistan    ,afg,South Asia  
 Angola         ,ago,Southern Afr
 Albania        ,alb,Eastern Euro
 Netherlands Ant,ant,Central Amer
 United Arab Emi,are,Middle East 
 Argentina      ,arg,South Americ
 Armenia        ,arm,Former USSR 
 American Samoa ,asm,Oceania     
 Antigua/Barbuda,atg,Central Amer
 Australia      ,aus,Oceania     
 Austria        ,aut,OECD Europe 
 Azerbaijan     ,aze,Former USSR 
 Burundi        ,bdi,Eastern Afri
 Belgium        ,bel,OECD Europe 
 Benin          ,ben,Western Afri
 Burkina Faso   ,bfa,Western Afri
 Bangladesh     ,bgd,South Asia  
 Bulgaria       ,bgr,Eastern Euro
 Bahrain        ,bhr,Middle East 
 Bahamas        ,bhs,Central Amer
 Bosnia-Herzegov,bih,Eastern Euro
 Belarus        ,blr,Former USSR 
 Belize         ,blz,Central Amer
 Bermuda        ,bmu,Central Amer
 Bolivia        ,bol,South Americ
 Brazil         ,bra,South Americ
 Barbados       ,brb,Central Amer
 Brunei Darussal,brn,Southeast As
 Bhutan         ,btn,South Asia  
 Botswana       ,bwa,Southern Afr
 Central African,caf,Western Afri
 Canada         ,can,Canada      
 Switzerland    ,che,OECD Europe 
 Chile          ,chl,South Americ
 China          ,chn,East Asia   
 Cote d'Ivoire  ,civ,Western Afri
 Cameroon       ,cmr,Western Afri
 Dem. Republic C,cod,Western Afri
 Congo          ,cog,Western Afri
 Cook Islands   ,cok,Oceania     
 Colombia       ,col,South Americ
 Comoros        ,com,Eastern Afri
 Cape Verde     ,cpv,Western Afri
 Costa Rica     ,cri,Central Amer
 Czechoslovakia ,csk,Eastern Euro
 Cuba           ,cub,Central Amer
 Cayman Island  ,cym,Central Amer
 Cyprus         ,cyp,Middle East 
 Czech Republic ,cze,Eastern Euro
 Germany        ,deu,OECD Europe 
 Germany: Democr,deu,OECD Europe 
 Germany: Federa,deu,OECD Europe 
 Djibouti       ,dji,Eastern Afri
 Dominica       ,dma,Central Amer
 Denmark        ,dnk,OECD Europe 
 Dominican Repub,dom,Central Amer
 Algeria        ,dza,Northern Afr
 Ecuador        ,ecu,South Americ
 Egypt          ,egy,Northern Afr
 Eritrea        ,eri,Eastern Afri
 Western Sahara ,esh,Northern Afr
 Spain          ,esp,OECD Europe 
 Estonia Islands,est,Former USSR 
 Ethiopia       ,eth,Eastern Afri
 Ethiopia (incl ,eth,Eastern Afri
 Finland        ,fin,OECD Europe 
 Fiji           ,fji,Oceania     
 Falkland Island,flk,South Americ
 France         ,fra,OECD Europe 
 Faeroe Islands ,fro,OECD Europe 
 Micronesia     ,fsm,Oceania     
 Gabon          ,gab,Western Afri
 United Kingdom ,gbr,OECD Europe 
 Georgia        ,geo,Former USSR 
 Ghana          ,gha,Western Afri
 Gibraltar      ,gib,OECD Europe 
 Guinea         ,gin,Western Afri
 Guadeloupe     ,glp,Central Amer
 Gambia         ,gmb,Western Afri
 Guinea Bissau  ,gnb,Western Afri
 Equatorial Guin,gnq,Western Afri
 Greece         ,grc,OECD Europe 
 Grenada        ,grd,Central Amer
 Greenland      ,grl,OECD Europe 
 Guatemala      ,gtm,Central Amer
 French Guiana  ,guf,South Americ
 Guam           ,gum,Oceania     
 Guyana         ,guy,South Americ
 Hong Kong      ,hkg,East Asia   
 Honduras       ,hnd,Central Amer
 Croatia        ,hrv,Eastern Euro
 Haiti          ,hti,Central Amer
 Hungary        ,hun,Eastern Euro
 Indonesia      ,idn,Southeast As
 India          ,ind,South Asia  
 Ireland        ,irl,OECD Europe 
 Iran           ,irn,Middle East 
 Isle of Man    ,irn,OECD Europe 
 Iraq           ,irq,Middle East 
 Iceland        ,isl,OECD Europe 
 Israel         ,isr,Middle East 
 Italy          ,ita,OECD Europe 
 Jamaica        ,jam,Central Amer
 Jordan         ,jor,Middle East 
 Japan          ,jpn,Japan       
 Japan (<1973)  ,jpn,Japan       
 Kazakhstan     ,kaz,Former USSR 
 Kenya          ,ken,Eastern Afri
 Kyrgyzstan     ,kgz,Former USSR 
 Cambodia       ,khm,Southeast As
 Kiribati       ,kir,Oceania     
 St. Kitts-Nevis,kna,Central Amer
 Korea: Republic,kor,East Asia   
 Kuwait         ,kwt,Middle East 
 Lao: Peoples De,lao,Southeast As
 Lebanon        ,lbn,Middle East 
 Liberia        ,lbr,Western Afri
 Libyan Arab Jam,lby,Northern Afr
 St. Lucia      ,lca,Central Amer
 Liechtenstein  ,lie,OECD Europe 
 Sri Lanka      ,lka,South Asia  
 Lesotho        ,lso,Southern Afr
 Lithuania      ,ltu,Former USSR 
 Luxembourg     ,lux,OECD Europe 
 Latvia         ,lva,Former USSR 
 Macau          ,mac,East Asia   
 Morocco        ,mar,Northern Afr
 Moldova Rep. of,mda,Former USSR 
 Madagascar     ,mdg,Eastern Afri
 Maldives       ,mdv,South Asia  
 Mexico         ,mex,Central Amer
 Macedonia TFYR ,mkd,Eastern Euro
 Mali           ,mli,Western Afri
 Malta          ,mlt,OECD Europe 
 Myanmar        ,mmr,Southeast As
 Mongolia       ,mng,East Asia   
 Mozambique     ,moz,Southern Afr
 Mauritania     ,mrt,Western Afri
 Montserrat (195,msr,Central Amer
 Martinique     ,mtq,Central Amer
 Mauritius      ,mus,Eastern Afri
 Malawi         ,mwi,Southern Afr
 Malaysia       ,mys,Southeast As
 Guernsey       ,,OECD Europe 
 Nauru          ,,Oceania     
 Namibia        ,nam,Southern Afr
 New Caledonia  ,ncl,Oceania     
 Niger          ,ner,Western Afri
 Nigeria        ,nga,Western Afri
 Nicaragua      ,nic,Central Amer
 Niue           ,niu,Oceania     
 Netherlands    ,nld,OECD Europe 
 Norway         ,nor,OECD Europe 
 Nepal          ,npl,South Asia  
 New Zealand    ,nzl,Oceania     
 Oman           ,omn,Middle East 
 E&W Pakistan   ,pak,South Asia  
 Pakistan       ,pak,South Asia  
 Panama         ,pan,Central Amer
 Peru           ,per,South Americ
 Philippines    ,phl,Southeast As
 Papua New Guine,png,Oceania     
 Poland         ,pol,Eastern Euro
 Puerto Rico    ,pri,USA         
 Korea: Dem Peop,prk,East Asia   
 Portugal       ,prt,OECD Europe 
 Paraguay       ,pry,South Americ
 French Polynesi,pyf,Oceania     
 Qatar          ,qat,Middle East 
 Reunion        ,reu,Eastern Afri
 Romania        ,rou,Eastern Euro
 Russian Federat,rus,Former USSR 
 Rwanda-Urundi  ,rwa,Eastern Afri
