"Source","Sector","SubSector","2002","2003","2004","2005","2006","2007","2008"
"Ore and Mineral Industries","","","905746.2299999999","814091.3099999999","876308.96","859128.2699999999","NaN","NaN","NaN"
"Ore and Mineral Industries","Aluminium Industry","","59013.38","56787.81","58526.71","63012.94","NaN","NaN","NaN"
"Ore and Mineral Industries","Aluminium Industry","Alumina (Bauxite Refining)","2999","4174","4332","5322.37","3144","3279","2891"
"Ore and Mineral Industries","Aluminium Industry","Primary Aluminium Smelting and Refining","55997.07","52597.79","54186.53","57682.4","60652.09","59030.02","61114.9"
"Ore and Mineral Industries","Aluminium Industry","Secondary Aluminium Production (Includes Recycling)","17.31","16.02","8.18","8.17","0","0","0"
"Ore and Mineral Industries","Asphalt Paving Industry","","668.86","683.39","720.32","718.82","699.04","852.09","883.09"
"Ore and Mineral Industries","Asphalt Paving Industry","Asphalt Paving Industry","668.86","683.39","720.32","718.82","699.04","852.09","883.09"
"Ore and Mineral Industries","Cement and Concrete Industry","","41602.93","46549.95999999999","52056.920000000006","54185.119999999995","41026.3","39387.86","31257.31"
"Ore and Mineral Industries","Cement and Concrete Industry","Cement Manufacturing","40677.92","43827.99","49829.9","52048.35","34044.15","30982.25","24700.06"
"Ore and Mineral Industries","Cement and Concrete Industry","Concrete Batching and Products","23.9","26.39","25.37","21.52","0.02","0.02","0.02"
"Ore and Mineral Industries","Cement and Concrete Industry","Gypsum Product Manufacturing","238.21","263.95","288.61","201.08","117.41","109.98","54.52"
"Ore and Mineral Industries","Cement and Concrete Industry","Lime Manufacturing","662.9","2431.63","1913.04","1914.17","6864.72","8295.61","6502.71"
"Ore and Mineral Industries","Foundries","","1943.1699999999998","1781.1399999999999","1714.1499999999999","1719.96","52.86","53.6","95.82000000000001"
"Ore and Mineral Industries","Foundries","Die Casting","934.28","934.63","933.79","933.89","0.09","0","0"
"Ore and Mineral Industries","Foundries","Ferrous Foundries","925.8","766.2","700.3","704.22","28.56","24.26","29.26"
"Ore and Mineral Industries","Foundries","Non-ferrous Foundries","83.09","80.31","80.06","81.85","24.21","29.34","66.56"
"Ore and Mineral Industries","Iron and Steel Industry","","28984.37","29472.61","30231.79","31070.22","29088.809999999998","NaN","NaN"
"Ore and Mineral Industries","Iron and Steel Industry","Primary (Blast furnace and DRI)","19220.82","19944.65","20506.14","21480.12","19293.03","17987.36","17421.49"
"Ore and Mineral Industries","Iron and Steel Industry","Secondary (Electric Arc Furnaces)","9739.59","9502.5","9700.5","9564.7","9771.88","10418.96","10239.48"
"Ore and Mineral Industries","Iron and Steel Industry","Steel Recycling","23.96","25.46","25.15","25.4","23.9","0","0"
"Ore and Mineral Industries","Iron Ore Pelletizing","","11211.39","15370.43","14319.14","17664.56","20569.99","20157.15","17804.26"
"Ore and Mineral Industries","Iron Ore Pelletizing","Iron Ore Pelletizing","11211.39","15370.43","14319.14","17664.56","20569.99","20157.15","17804.26"
"Ore and Mineral Industries","Mineral Products Industry","","2145.62","2018.5700000000002","2272.53","2124.3","1467.6999999999998","1208.1","1247.27"
"Ore and Mineral Industries","Mineral Products Industry","Brick Products","370.45","321.91","366.85","350.13","200.85","196.47","173.31"
"Ore and Mineral Industries","Mineral Products Industry","Clay Products","662.95","693.83","675.2","741.13","457.54","456.62","442.29"
"Ore and Mineral Industries","Mineral Products Industry","Other (Mineral Products Industry)","1112.22","1002.83","1230.48","1033.04","809.31","555.01","631.67"
"Ore and Mineral Industries","Mining and Rock Quarrying","","11337.659999999998","13573.650000000001","11229.63","11971.94","10040.050000000001","10696.82","8296.27"
"Ore and Mineral Industries","Mining and Rock Quarrying","Coal Mining Industry","2039.06","2025.95","2065.97","2129.61","665.15","840.16","823.45"
"Ore and Mineral Industries","Mining and Rock Quarrying","Iron Ore Mining","565.72","989.3","803.81","1242.09","941.38","1031.24","813.73"
"Ore and Mineral Industries","Mining and Rock Quarrying","Metal Mining","7669.68","9401.44","7792.7","7968.81","7883.42","8508.95","6434.5"
"Ore and Mineral Industries","Mining and Rock Quarrying","Potash","53.34","134.43","119.58","123.53","10.44","12.81","9.85"
"Ore and Mineral Industries","Mining and Rock Quarrying","Rock, Sand and Gravel","7.21","29.95","5.52","8.41","7.07","0.27","0.21"
"Ore and Mineral Industries","Mining and Rock Quarrying","Other (Mining and Rock Quarrying)","1002.65","992.58","442.05","499.49","532.59","303.39","214.53"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","","748838.8499999999","647853.75","705237.77","676660.4099999999","NaN","NaN","NaN"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","Primary Ni, Cu, Zn, Pb","748290.32","647367.24","704660.11","676179.19","660136.88","615918.37","564136.19"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","Secondary Pb, Cu","545.46","470.65","577.65","475.21","750.56","767.42","727.98"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","Other (Non-Ferrous Refining and Smelting Industry)","3.07","15.86","0.01","6.01","0","0","0"
"Oil and Gas Industry","","","468053.81","475615.33999999997","468059.42999999993","462194.22","NaN","NaN","NaN"
"Oil and Gas Industry","Downstream Oil and Gas Industry","","117794.63000000002","120236","119636.47","113139.15000000001","NaN","NaN","NaN"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Petroleum Refining","109610.96","112668.44","112683.12","109957.29","95430.38","85352.18","80575.5"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Refined Petroleum Products Bulk Storage and Distribution","6069.64","5634.12","4733.99","1087.6","121.99","132.44","93.43"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Natural Gas Distribution","4.21","4.21","4.22","4.19","0.41","0.42","0.41"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Other (Downstream Oil and Gas Industry)","2109.82","1929.23","2215.14","2090.07","0","0","0"
"Oil and Gas Industry","Upstream Oil and Gas Industry","","350259.18","355379.34","348422.95999999996","349055.07","328787.76","316893.70999999996","297605.28"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Disposal and Waste Treatment","0","0.01","0.01","0.01","0.01","0.01","0.01"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Heavy Crude Oil Cold Production","926.02","842.09","891.8","935.6","1066.65","1374.59","1449.73"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Light/Medium Crude Oil Production","21758.29","20636.37","22377.11","24590.46","22354.55","25537.54","22988.78"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Natural Gas Production and Processing","193445.99","196197.57","186903.49","177545.78","163304.81","148050.55","139990.95"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Natural Gas Transmission and Storage","1525.35","633.41","779.96","676.66","25.72","24.94","1249.15"
