"Source","Sector","SubSector","1990","1991","1992","1993","1994","1995","1996"
"Ore and Mineral Industries","","","1483316.0099999998","1336327.64","1171470.13","1114813.55","894537.01","1108328.26","1091157.7999999998"
"Ore and Mineral Industries","Aluminium Industry","","30977.24","38361.14","43161.310000000005","46622.85","50266.100000000006","44962.8","49772.12"
"Ore and Mineral Industries","Aluminium Industry","Alumina (Bauxite Refining)","3577.9","2868.78","3086.53","2905.52","2724.51","1131.12","1787.76"
"Ore and Mineral Industries","Aluminium Industry","Primary Aluminium Smelting and Refining","27381.46","35477.29","40058.41","43702.21","47524.48","43815.64","47966.37"
"Ore and Mineral Industries","Aluminium Industry","Secondary Aluminium Production (Includes Recycling)","17.88","15.07","16.37","15.12","17.11","16.04","17.99"
"Ore and Mineral Industries","Asphalt Paving Industry","","734.8","771.56","836.49","774.8","1088.94","1058.76","824.06"
"Ore and Mineral Industries","Asphalt Paving Industry","Asphalt Paving Industry","734.8","771.56","836.49","774.8","1088.94","1058.76","824.06"
"Ore and Mineral Industries","Cement and Concrete Industry","","47510.85","37853.170000000006","32965.3","33869.52","36178.16","38545.79","36077.01"
"Ore and Mineral Industries","Cement and Concrete Industry","Cement Manufacturing","45496.8","36023.79","31039.7","31592.85","33529.15","35822.39","33094.15"
"Ore and Mineral Industries","Cement and Concrete Industry","Concrete Batching and Products","173.02","118.69","183","109.16","95.79","69.39","65.96"
"Ore and Mineral Industries","Cement and Concrete Industry","Gypsum Product Manufacturing","68.67","66.44","120.22","124.13","120.89","148.98","158.98"
"Ore and Mineral Industries","Cement and Concrete Industry","Lime Manufacturing","1772.36","1644.25","1622.38","2043.38","2432.33","2505.03","2757.92"
"Ore and Mineral Industries","Foundries","","1831.8899999999999","1673.8","1800","1836.62","1893.5","2103.54","1849.8700000000001"
"Ore and Mineral Industries","Foundries","Die Casting","521.26","496.47","572.99","650.93","745.07","900.68","758.27"
"Ore and Mineral Industries","Foundries","Ferrous Foundries","853.26","782.52","812.11","827.42","848.61","945.46","877.2"
"Ore and Mineral Industries","Foundries","Non-ferrous Foundries","457.37","394.81","414.9","358.27","299.82","257.4","214.4"
"Ore and Mineral Industries","Iron and Steel Industry","","37301.090000000004","38615.73","37689.91","38208.29","38335.34","39325.39","39151.310000000005"
"Ore and Mineral Industries","Iron and Steel Industry","Primary (Blast furnace and DRI)","35067.75","36407.24","35170.92","35648.49","35377.79","36419.65","36036.76"
"Ore and Mineral Industries","Iron and Steel Industry","Secondary (Electric Arc Furnaces)","2231.65","2206.87","2517.48","2558.05","2954.92","2904.21","3113.3"
"Ore and Mineral Industries","Iron and Steel Industry","Steel Recycling","1.69","1.62","1.51","1.75","2.63","1.53","1.25"
"Ore and Mineral Industries","Iron Ore Pelletizing","","14933.94","14285.51","13743.65","15626.03","17508.42","18898.45","18038.67"
"Ore and Mineral Industries","Iron Ore Pelletizing","Iron Ore Pelletizing","14933.94","14285.51","13743.65","15626.03","17508.42","18898.45","18038.67"
"Ore and Mineral Industries","Mineral Products Industry","","1469.51","1319.35","1133.56","1039.73","1107.77","1296","1257.6100000000001"
"Ore and Mineral Industries","Mineral Products Industry","Brick Products","416.06","432.63","364.86","354.15","371.12","379.85","375.24"
"Ore and Mineral Industries","Mineral Products Industry","Clay Products","396.43","390.53","333.13","321.96","317.21","342.28","337.91"
"Ore and Mineral Industries","Mineral Products Industry","Other (Mineral Products Industry)","657.02","496.19","435.57","363.62","419.44","573.87","544.46"
"Ore and Mineral Industries","Mining and Rock Quarrying","","83299.28","90398.5","73286.28","87674.25","75515.18","79430.62","72372.12"
"Ore and Mineral Industries","Mining and Rock Quarrying","Coal Mining Industry","4982.86","4520.08","4047.6","5048.44","5346.49","5309.77","5133.71"
"Ore and Mineral Industries","Mining and Rock Quarrying","Iron Ore Mining","44066.22","55046.29","38232.26","52483.39","36418.01","45807.91","41629.33"
"Ore and Mineral Industries","Mining and Rock Quarrying","Limestone","4.61","4.6","4.57","4.73","4.96","5.06","5.15"
"Ore and Mineral Industries","Mining and Rock Quarrying","Metal Mining","32602.33","29229.08","29605.71","28773.49","32399.19","27002.23","24242.74"
"Ore and Mineral Industries","Mining and Rock Quarrying","Potash","195.84","195.84","195.84","195.84","195.84","195.84","173.34"
"Ore and Mineral Industries","Mining and Rock Quarrying","Rock, Sand and Gravel","58.64","54.9","54.81","58.02","59.5","41.86","45.98"
"Ore and Mineral Industries","Mining and Rock Quarrying","Silica Production","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Mining and Rock Quarrying","Other (Mining and Rock Quarrying)","1388.78","1347.71","1145.49","1110.34","1091.19","1067.95","1141.87"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","","1265257.41","1113048.88","966853.63","889161.46","672643.6","882706.91","871815.03"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","Primary Ni, Cu, Zn, Pb","1264429.76","1112825.48","966670.71","888996.28","672462.74","882407.55","871493.67"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","Secondary Pb, Cu","659.74","90.69","83.99","97.71","145.36","295.71","295.9"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","Other (Non-Ferrous Refining and Smelting Industry)","167.91","132.71","98.93","67.47","35.5","3.65","25.46"
"Oil and Gas Industry","","","536962.83","542592.2","582642.99","610437.05","606893.2000000001","600898.0000000001","600297.66"
"Oil and Gas Industry","Downstream Oil and Gas Industry","","129815.55000000002","139916.06999999995","154263.65999999997","174765.59","141105.06","153499.93","160411.87999999998"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Petroleum Refining","120794.09","131150.02","144037.63","163962.01","130709.03","144375.87","150192.18"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Refined Petroleum Products Bulk Storage and Distribution","4307.24","4488.86","4848.49","5558.77","6043.55","6282.99","6482.8"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Refined Petroleum Product Pipelines","0.21","0.21","0.21","0.21","0.21","0.21","0.21"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Natural Gas Distribution","0.57","0.58","0.59","0.6","0.6","0.6","0.63"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Other (Downstream Oil and Gas Industry)","4713.44","4276.4","5376.74","5244","4351.67","2840.26","3736.06"
