cou_abb,reg_abb,fuel,CON_COMB,PP_EX_WB,PP_EX_OTH,PP_NEW,PP_IGCC,DOM,TRA_RD,TRA_OT,TRA_OTS,IN_BO,IN_OC
AUST,WHOL,BC1,0.3,n.a,0.3,0.3,n.a,0.3,n.a,n.a,n.a,0.3,0.3
AUST,WHOL,BC2,0.3,n.a,0.3,0.3,n.a,0.3,n.a,n.a,n.a,0.3,0.3
AUST,WHOL,HC1,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
AUST,WHOL,HC2,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
AUST,WHOL,HC3,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
AUST,WHOL,DC,0.05,n.a,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.99
AUST,WHOL,OS1,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,ARD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,BGS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,BIOG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,BMG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,CHCOA,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,DNG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,FWD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,OS2,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,BLIQ,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,WSFNR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,WSFR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,GAS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,HF,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,H2,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,MD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,GSL,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,LPG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,SUM,0.8,0.15,0.8,0.8,0,1,0,0.4,0,0.8,1.74
BELG,WHOL,BC1,0.3,n.a,0.3,0.3,n.a,0.3,n.a,n.a,n.a,0.3,0.3
BELG,WHOL,BC2,0.3,n.a,0.3,0.3,n.a,0.3,n.a,n.a,n.a,0.3,0.3
BELG,WHOL,HC1,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
BELG,WHOL,HC2,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
BELG,WHOL,HC3,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
BELG,WHOL,DC,0.05,n.a,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.95
BELG,WHOL,OS1,0,n.a,0,0,n.a,0,n.a,n.a,n.a,0,0
BELG,WHOL,ARD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,BGS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,BIOG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,BMG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,CHCOA,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,DNG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,FWD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,OS2,0,n.a,0,0,n.a,0,n.a,n.a,n.a,0,0
BELG,WHOL,BLIQ,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,WSFNR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,WSFR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,GAS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,HF,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,H2,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,MD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,GSL,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,LPG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,SUM,0.8,0.15,0.8,0.8,0,1,0,0.4,0,0.8,1.7
BULG,WHOL,BC1,0.2,n.a,0.2,0.2,n.a,0.2,n.a,n.a,n.a,0.2,0.2
BULG,WHOL,BC2,0.2,n.a,0.2,0.2,n.a,0.2,n.a,n.a,n.a,0.2,0.2
BULG,WHOL,HC1,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
BULG,WHOL,HC2,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
BULG,WHOL,HC3,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
BULG,WHOL,DC,0.05,n.a,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.95
BULG,WHOL,OS1,0,n.a,0,0,n.a,0,n.a,n.a,n.a,0,0
BULG,WHOL,ARD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,BGS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,BIOG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,BMG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,CHCOA,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,DNG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,FWD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,OS2,0,n.a,0,0,n.a,0,n.a,n.a,n.a,0,0
BULG,WHOL,BLIQ,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,WSFNR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,WSFR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,GAS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,HF,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,H2,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,MD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,GSL,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,LPG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,SUM,0.6,0.15,0.6,0.6,0,0.8,0,0.4,0,0.6,1.5
CROA,WHOL,BC1,0.22,n.a,0.22,0.22,n.a,0.22,n.a,n.a,n.a,0.22,0.22
CROA,WHOL,BC2,0.22,n.a,0.22,0.22,n.a,0.22,n.a,n.a,n.a,0.22,0.22
CROA,WHOL,HC1,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
CROA,WHOL,HC2,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
CROA,WHOL,HC3,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
CROA,WHOL,DC,0.05,n.a,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.95
CROA,WHOL,OS1,0,n.a,0,0,n.a,0,n.a,n.a,n.a,0,0
CROA,WHOL,ARD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,BGS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,BIOG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,BMG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,CHCOA,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,DNG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,FWD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,OS2,0,n.a,0,0,n.a,0,n.a,n.a,n.a,0,0
CROA,WHOL,BLIQ,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,WSFNR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,WSFR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,GAS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,HF,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,H2,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,MD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,GSL,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,LPG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,SUM,0.64,0.15,0.64,0.64,0,0.84,0,0.4,0,0.64,1.54
CYPR,WHOL,BC1,0.3,n.a,0.3,0.3,n.a,0.3,n.a,n.a,n.a,0.3,0.3
CYPR,WHOL,BC2,0.3,n.a,0.3,0.3,n.a,0.3,n.a,n.a,n.a,0.3,0.3
CYPR,WHOL,HC1,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
CYPR,WHOL,HC2,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
CYPR,WHOL,HC3,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
CYPR,WHOL,DC,0.05,n.a,0.05,0.05,n.a,0.2,n.a,0.1,n.a,0.05,0.95
CYPR,WHOL,OS1,0,n.a,0,0,n.a,0,n.a,n.a,n.a,0,0
CYPR,WHOL,ARD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,BGS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,BIOG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,BMG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
