Sulfur Content,,,,,,,,,,,,,
Pollutant: SO2,,,,,,,,,,,,,
Scenario: TSAP_Consultation_2014_v2 (ID: TSAP_Consultation_2014_v2),,,,,,,,,,,,,
Region: EU-28,,,,,,,,,,,,,
UserID: zig,,,,,,,,,,,,,
Unit: [%],,,,,,,,,,,,,
cou_abb,reg_abb,fuel,CON_COMB,PP_EX_WB,PP_EX_OTH,PP_NEW,PP_IGCC,DOM,TRA_RD,TRA_OT,TRA_OTS,IN_BO,IN_OC
,,,,,,,,,,,,,
AUST,WHOL,BC1,0.7,n.a,1.79,0.7,n.a,0.5,n.a,0.7,n.a,0.7,0.7
AUST,WHOL,BC2,1,n.a,1,1,n.a,1,n.a,n.a,n.a,1,1
AUST,WHOL,HC1,1,1,1.07,1,n.a,1,n.a,1,n.a,0.925,0.925
AUST,WHOL,HC2,1,1,1,1,n.a,1,n.a,1,n.a,1,1
AUST,WHOL,HC3,1,1,1,1,n.a,1,n.a,1,n.a,1,1
AUST,WHOL,DC,0.5,n.a,0.5,0.5,n.a,0.3,n.a,0.5,n.a,0.56,0.56
AUST,WHOL,OS1,0.006,n.a,0.006,0.006,n.a,0.006,n.a,n.a,n.a,0.006,0.006
AUST,WHOL,ARD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,BGS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,BIOG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,BMG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,CHCOA,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,DNG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,FWD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,OS2,0.1,n.a,0.48,0.48,n.a,0.1,n.a,n.a,n.a,0.16,0.16
AUST,WHOL,BLIQ,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,WSFNR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,WSFR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,GAS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,HF,4,n.a,1.5,1.5,n.a,0.5,n.a,3.5,2.7,1,1.2
AUST,WHOL,H2,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,MD,0.5,n.a,0.319,0.319,n.a,0.1,0.5,0.5,0.5,0.5,0.5
AUST,WHOL,GSL,0.01,n.a,0.01,0.01,n.a,0.01,0.01,0.01,n.a,0.01,0.01
AUST,WHOL,LPG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
AUST,WHOL,SUM,9.816,3,8.675,7.515,0,5.516,0.51,8.21,3.2,6.861,7.061
BELG,WHOL,BC1,0.5,n.a,0.5,0.5,n.a,0.5,n.a,0.5,n.a,0.5,0.5
BELG,WHOL,BC2,1,n.a,1,1,n.a,1,n.a,n.a,n.a,1,1
BELG,WHOL,HC1,0.9,0.9,0.9,0.9,n.a,0.9,n.a,0.9,n.a,0.9,0.9
BELG,WHOL,HC2,1,1,1,1,n.a,1,n.a,1,n.a,1,1
BELG,WHOL,HC3,1,1,1,1,n.a,1,n.a,1,n.a,1,1
BELG,WHOL,DC,0.8,n.a,0.8,0.8,n.a,0.8,n.a,0.8,n.a,0.8,0.8
BELG,WHOL,OS1,0.03,n.a,0.03,0.03,n.a,0.03,n.a,n.a,n.a,0.03,0.03
BELG,WHOL,ARD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,BGS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,BIOG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,BMG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,CHCOA,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,DNG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,FWD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,OS2,0.1,n.a,0.03,0.03,n.a,0.1,n.a,n.a,n.a,0.1,0.1
BELG,WHOL,BLIQ,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,WSFNR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,WSFR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,GAS,0.11,n.a,0.06,n.a,n.a,n.a,n.a,n.a,n.a,0.025,0.025
BELG,WHOL,HF,3.5,n.a,3.5,3.5,n.a,2.5,n.a,2.5,2.5,3.5,3.5
BELG,WHOL,H2,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,MD,0.5,n.a,0.5,0.5,n.a,0.5,0.5,0.5,0.5,0.5,0.5
BELG,WHOL,GSL,0.01,n.a,0.01,0.01,n.a,0.01,0.01,0.01,n.a,0.01,0.01
BELG,WHOL,LPG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BELG,WHOL,SUM,9.45,2.9,9.33,9.27,0,8.34,0.51,7.21,3,9.365,9.365
BULG,WHOL,BC1,2,n.a,1.4,1.4,n.a,2,n.a,2,n.a,2,2
BULG,WHOL,BC2,1,n.a,1,1,n.a,1,n.a,n.a,n.a,1,1
BULG,WHOL,HC1,2.5,2.5,2.5,2.5,n.a,1.25,n.a,2.5,n.a,2.5,2.5
BULG,WHOL,HC2,1,1,1,1,n.a,1,n.a,1,n.a,1,1
BULG,WHOL,HC3,1,1,1,1,n.a,1,n.a,1,n.a,1,1
BULG,WHOL,DC,0.8,n.a,0.8,0.8,n.a,0.8,n.a,0.8,n.a,0.8,0.8
BULG,WHOL,OS1,0.03,n.a,0.03,0.03,n.a,0.03,n.a,n.a,n.a,0.03,0.03
BULG,WHOL,ARD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,BGS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,BIOG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,BMG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,CHCOA,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,DNG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
