Sulfur Content,,,,,,,,,,,,,
Pollutant: SO2,,,,,,,,,,,,,
Scenario: ECLIPSE_V5a_CLE_base (ID: ECLIPSE_V5a_CLE_base),,,,,,,,,,,,,
Region: India (all GAINS Regions),,,,,,,,,,,,,
UserID: zig,,,,,,,,,,,,,
Unit: [%],,,,,,,,,,,,,
cou_abb,reg_abb,fuel,CON_COMB,PP_EX_WB,PP_EX_OTH,PP_NEW,PP_IGCC,DOM,TRA_RD,TRA_OT,TRA_OTS,IN_BO,IN_OC
,,,,,,,,,,,,,
INDI,ANPR,BC1,1,n.a,1,1,n.a,1,n.a,1,n.a,1,1
INDI,ANPR,BC2,1,n.a,1,1,n.a,1,n.a,n.a,n.a,1,1
INDI,ANPR,HC1,0.5,0.6,0.6,0.6,n.a,0.5,n.a,0.5,n.a,0.5,0.5
INDI,ANPR,HC2,0.5,0.5,0.5,0.5,n.a,0.5,n.a,0.5,n.a,0.5,0.5
INDI,ANPR,HC3,0.5,0.5,0.5,0.5,n.a,0.5,n.a,0.5,n.a,0.5,0.5
INDI,ANPR,DC,0.75,n.a,0.75,0.75,n.a,0.75,n.a,0.75,n.a,0.75,0.75
INDI,ANPR,OS1,0.01,n.a,0,0,n.a,0.02,n.a,n.a,n.a,0.01,0.01
INDI,ANPR,ARD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
INDI,ANPR,BGS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
INDI,ANPR,BIOG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
INDI,ANPR,BMG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
INDI,ANPR,CHCOA,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
INDI,ANPR,DNG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
INDI,ANPR,FWD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
INDI,ANPR,OS2,0.03,n.a,0.03,0.03,n.a,0.06,n.a,n.a,n.a,0.03,0.03
INDI,ANPR,BLIQ,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
INDI,ANPR,WSFNR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
INDI,ANPR,WSFR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
INDI,ANPR,GAS,0.1,n.a,0.002,0.002,n.a,0.002,0.002,0.002,n.a,0.002,0.002
INDI,ANPR,HF,3.8,n.a,3.8,3.8,n.a,3.8,n.a,3.8,3.8,3.8,3.8
