Table 3-14:  N2O Emissions from Mobile Combustion (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Type/Vehicle Typea,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Gasoline On-Roadb,37.5,39.5 ,42.3 ,44.3 ,46.0 ,47.5 ,48.7 ,49.8 ,50.2 ,47.6 ,46.2 ,43.5 ,41.4 ,39.2 ,36.5 ,33.5,31.2,27.2,25.0,23.8,22.6,21.4,19.1,17.2,15.4,14,12.8
Passenger Cars,24.1,23.8 ,24.5 ,24.9 ,25.7 ,26.3 ,26.6 ,26.7 ,26.7 ,24.6 ,23.7 ,22.5 ,21.3 ,20.0 ,18.9 ,17.5,16.1 ,18.7 ,16.9 ,16.0 ,15.2 ,14.6 ,13.1,11.8,10.5,9.7,8.9
Light-Duty Trucks,12.8,15.1 ,17.1 ,18.7 ,19.6 ,20.5 ,21.3 ,22.3 ,22.5 ,22.1 ,21.5 ,20.1 ,19.1 ,18.2 ,16.7 ,15,14.2 ,7.3 ,7.0 ,6.8 ,6.5 ,6.0 ,5.3,4.7,4.4,3.8,3.5
Medium- and Heavy-Duty Trucks and Buses,0.5,0.6 ,0.6 ,0.7 ,0.7 ,0.7 ,0.7 ,0.8 ,0.9 ,0.9 ,1.0 ,1.0 ,1.0 ,1.0 ,1.0 ,0.9,0.8 ,1.1 ,1.0 ,0.9 ,0.9 ,0.7 ,0.7,0.6,0.5,0.5,0.4
Motorcycles,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+,+ 
Diesel On-Roadb,0.2,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Passenger Cars,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+,+ 
Light-Duty Trucks,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+,+ 
Medium- and Heavy-Duty Trucks and Buses,0.2,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3,0.3 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4,0.4,0.4,0.4,0.4
Alternative Fuel On-Road,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Non-Road,4,3.8 ,4.1 ,4.1 ,4.3 ,4.4 ,4.5 ,4.3 ,4.3 ,4.5 ,4.9 ,4.7 ,4.8 ,4.6 ,4.9 ,5,5.1 ,5.1 ,5.0 ,4.7 ,4.9 ,4.9 ,4.8,4.9,4.8,5,5.2
Ships and Boats,0.6,0.5 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,0.5 ,0.4 ,0.5 ,0.8 ,0.5 ,0.6 ,0.4 ,0.5 ,0.6,0.6 ,0.7 ,0.6 ,0.5 ,0.6 ,0.6 ,0.5,0.5,0.3,0.4,0.5
Railc,0.3,0.2 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.4,0.4 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3,0.3,0.3,0.3,0.3
Aircraft ,1.7,1.6 ,1.6 ,1.6 ,1.7 ,1.6 ,1.7 ,1.7 ,1.8 ,1.8 ,1.8 ,1.8 ,1.7 ,1.7 ,1.7 ,1.8,1.7 ,1.7 ,1.6 ,1.4 ,1.4 ,1.4 ,1.3,1.4,1.4,1.5,1.5
 Agricultural Equipmentd,0.4,0.4 ,0.4 ,0.4 ,0.4 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.6 ,0.6 ,0.6,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.7 ,0.7,0.7,0.7,0.7,0.7
