inv_sector,scaling_sector,ceds_sector,Notes
Agriculture_Animal Production,Agriculture,3I_Agriculture-other,
Agriculture_Crop Production,Agriculture,,
Agriculture_Fuel Use,,,Not scaled - used US emission factor trends instead
CommercialResidentialInstitutional_Cigarette Smoking,Commercial-Residential,,
CommercialResidentialInstitutional_Commercial and Institutional Fuel Combustion,Commercial-Residential,1A4a_Commercial-institutional,
CommercialResidentialInstitutional_Commercial Cooking,Commercial-Residential,,
CommercialResidentialInstitutional_Construction Fuel Combustion,,1A2g_Ind-Comb-Construction,Not scaled - used US emission factor trends instead
CommercialResidentialInstitutional_Home Firewood Burning,Commercial-Residential,1A4b_Residential,
CommercialResidentialInstitutional_Human,Commercial-Residential,,
CommercialResidentialInstitutional_Marine Cargo Handling,General-Industry,,
CommercialResidentialInstitutional_Other (CommercialResidentialInstitutional),Commercial-Residential,,
CommercialResidentialInstitutional_Residential Fuel Combustion,Commercial-Residential,,
CommercialResidentialInstitutional_Service Stations,Commercial-Residential,,
Dust_Coal Transportation,,,
Dust_Construction Operations,,,
Dust_Mine Tailings,,,
Dust_Paved Roads,,,
Dust_Unpaved Roads,,,
Electric Power Generation (Utilities)_Coal,Electricity-Public,1A1a_Electricity-public,
Electric Power Generation (Utilities)_Diesel,Electricity-Public,,
Electric Power Generation (Utilities)_Natural Gas,Electricity-Public,,
Electric Power Generation (Utilities)_Other (Electric Power Generation),Electricity-Public,,
Electric Power Generation (Utilities)_Waste Materials,Electricity-Public,,
Fires_Prescribed Burning,,,
Fires_Structural Fires,,,
Incineration and Waste_Crematoriums,Waste,5C_Waste-incineration,
Incineration and Waste_Waste Incineration,Waste,5D_Wastewater-handling,
Incineration and Waste_Waste Treatment and Disposal,Waste,5A_Solid-waste-disposal,
,Waste,5E_Other-waste-handling,
Manufacturing_Abrasives Manufacturing,General-Industry,,
Manufacturing_Bakeries,General-Industry,,
Manufacturing_Biofuel Production,General-Industry,,
Manufacturing_Chemicals Industry,Chemical-Industry,2B_Chemical-industry,
,Chemical-Industry,1A2c_Ind-Comb-Chemicals,
Manufacturing_Electronics,General-Industry,,
Manufacturing_Food Preparation,Pulp-Paper-Wood-Food,,
Manufacturing_Glass Manufacturing,General-Industry,,
Manufacturing_Grain Industry,Pulp-Paper-Wood-Food,,
