CEDS-Working-Sector-Name,MEIC Source,"","Note: The MEIC data is already converted into working CEDS sectors. Therefore, the inv_sector and scaling_sector are identical. This is done so that the emission_scaling function work properly."
1A1a_Electricity-public,power,,
1A1a_Electricity-autoproducer,power,,
1A1a_Heat-production,heating,,
1A1bc_Other-transformation,,,
1A2a_Ind-Comb-Iron-steel,industrial boiler,,
1A2b_Ind-Comb-Non-ferrous-metals,,,
1A2c_Ind-Comb-Chemicals,,,
1A2d_Ind-Comb-Pulp-paper,,,
1A2e_Ind-Comb-Food-tobacco,,,
1A2f_Ind-Comb-Non-metalic-minerals,,,
1A2g_Ind-Comb-Construction,,,
1A2g_Ind-Comb-transpequip,,,
1A2g_Ind-Comb-machinery,,,
1A2g_Ind-Comb-mining-quarying,,,
1A2g_Ind-Comb-wood-products,,,
1A2g_Ind-Comb-textile-leather,,,
1A2g_Ind-Comb-other,,,
1A3ai_International-aviation,,,
1A3aii_Domestic-aviation,,,
1A3b_Road,onroad,,
1A3c_Rail,rail,,
1A3di_International-shipping,,,
1A3dii_Domestic-navigation (shipping),inland waterway,,
1A3eii_Other-transp,other offroad,,
1A4a_Commercial-institutional,,,
1A4b_Residential,residential,,
1A4c_Agriculture-forestry-fishing,,,
1A5_Other-unspecified,,,
1B1_Fugitive-solid-fuels,,,
1B2ai_Fugitive-petr-prod,petrol production,,
1B2aiv_Fugitive-petr-refining,refinering,,
1B2av_Fugitive-petr-distr,petrol distribution,,
1B2b_Fugitive-NG-prod-distr,NG production and distribution,,
1B2c_Venting-flaring-oil-gas,,,
1B2d_Fugitive-other-energy,,,
2A1_Cement-production,cement,,
2A2_Lime-production,lime,,
2A6_Other-minerals,brick and glass,,
2B_Chemical-industry,inorganic / organic chemicals production,,
2C_Iron-steel-alloy-prod,iron and steel,,
2C3_Aluminum-production,aluminum,,
2C4_Non-Ferrous-other-metals,other non-ferrous,,
2D_Degreasing-Cleaning,"domestic solvent use, dry clean, priting gasoline cleaning",,
2D3_Other-product-use,,,
2D_Paint-application,paint application,,
2D3_Chemical-product-use,"printing ink, passenger vehicle treated, pesticle use, glue use",,
2H_Pulp-and-paper-food-beverage-wood,"pulp, food, beverage, wood",,
2L_Other-process-emissions,,,
3B_Manure-management,manure management,,
3D_Soil-emissions,fertilizer,,
3I_Agriculture-other,,,
3D_Rice-Cultivation,fertilizer,,
3E_Enteric-fermentation,,,
3F_Agricultural-residue-burning-on-fields,,,
5A_Solid-waste-disposal,waste disposal,,
5E_Other-waste-handling,,,
5C_Waste-incineration,waste incineration,,
6A_Other-in-total,,,
5D_Wastewater-handling,,,
6B_Other-not-in-total,,,
7A_Fossil-fuel-fires,,,
