inv_sector,scaling_sector,ceds_sector,Notes,
A_PublicPower,PublicPower,1A1a_Electricity-public,,
,Industry,1A1a_Electricity-autoproducer,"Emissions from autoproducers (public or private undertakings that generate electricity/heat wholly or partly for their own use, as an activity that supports their primary activity) should be assigned to the sector where they were generated and not under 1.A.1.a. (Source: EMEP/EEA air pollutant emission inventory guidebook 2016, Energy industries: Combustion in energy and transformation industries, pg 5.)",
,PublicPower,1A1a_Heat-production,,
B_Industry,Industry,1A1bc_Other-transformation,,
,Industry,1A2a_Ind-Comb-Iron-steel,,
,Industry,1A2b_Ind-Comb-Non-ferrous-metals,,
,Industry,1A2c_Ind-Comb-Chemicals,,
,Industry,1A2d_Ind-Comb-Pulp-paper,,
,Industry,1A2e_Ind-Comb-Food-tobacco,,
,Industry,1A2f_Ind-Comb-Non-metalic-minerals,,
,Industry,1A2g_Ind-Comb-Construction,,
,Industry,1A2g_Ind-Comb-transpequip,,
,Industry,1A2g_Ind-Comb-machinery,,
,Industry,1A2g_Ind-Comb-mining-quarying,,
,Industry,1A2g_Ind-Comb-wood-products,,
,Industry,1A2g_Ind-Comb-textile-leather,,
,Industry,1A2g_Ind-Comb-other,,
D_Fugitive,Fugitive,1B1_Fugitive-solid-fuels,,
,Fugitive,1B2_Fugitive-petr,,
,Fugitive,1B2b_Fugitive-NG-prod,,
,Fugitive,1B2b_Fugitive-NG-distr,,
,Fugitive,1B2d_Fugitive-other-energy,,
,Industry,2A1_Cement-production,,
,Industry,2A2_Lime-production,,
,Industry,2A6_Other-minerals,,
,Industry,2B_Chemical-industry,,
,Industry,2B2_Chemicals-Nitric-acid,,
,Industry,2B3_Chemicals-Adipic-acid,,
,Industry,2C_Metal-production,,
,Industry,2H_Pulp-and-paper-food-beverage-wood,,
,Industry,2L_Other-process-emissions,,
,,,,
,,,,
E_Solvents,Solvents,2D_Degreasing-Cleaning,,
,Solvents,2D3_Other-product-use,,
,Solvents,2D_Paint-application,,
,,,,
,Solvents,2D3_Chemical-products-manufacture-processing,,
F_RoadTransport,Road,1A3b_Road,,
G_Shipping,,1A3dii_Domestic-navigation,,"This sector is large for some countries, but seems to be inconsistantly reported by country"
P_IntShipping,,1A3di_International-shipping,,
H_Aviation,,1A3ai_International-aviation,,EMEP H_Aviation contains emissions for both domestic and international aviation
O_AviCruise,,1A3aii_Domestic-aviation,,EMEP O_AviCruise contains emissions for both domestic and international aviation
I_Offroad,Other,1A3c_Rail,,"Off road includes mobile emissions from rail, 1A4 sectors, and pipelines"
,Other,1A3eii_Other-transp,,
,Other,1A4c_Agriculture-forestry-fishing,,In both off-road and stationary combustion sectors
C_OtherStatComb,Other,1A4a_Commercial-institutional,,
,Other,1A4b_Residential,,
,,,,
,,1A5_Other-unspecified,,
J_Waste,Waste,5A_Solid-waste-disposal,,
,Waste,5E_Other-waste-handling,,
,Waste,5C_Waste-incineration,,
,Waste,6A_Other-in-total,,
,Waste,5D_Wastewater-handling,,
K_AgriLivestock,AgriLivestock,3B_Manure-management,,
L_AgriOther,,3D_Soil-emissions,,
,,3I_Agriculture-other,,
,,3D_Rice-Cultivation,,
,,3E_Enteric-fermentation,,
,,3F_Agricultural-residue-burning-on-fields,,"Includes field burning, which is not in CEDS, will bias Nox high, but by ~.5% for 2010 "
,,,,
M_Other,,,,
N_Natural,,,,
z_Memo,,,,
,,,,
,,,,
,,,,
,,7BC_Indirect-N2O-non-agricultural-N,,
