"Source","Sector","SubSector","2007","2008","2009","2010","2011","2012","2013"
"Ore and Mineral Industries","","","0","0","0","0","0","0","652.352312"
"Ore and Mineral Industries","Aluminium Industry","","0","0","0","0","0","0","50.512516999999995"
"Ore and Mineral Industries","Aluminium Industry","Alumina (Bauxite Refining)","0","0","0","0","0","0","1.000184"
"Ore and Mineral Industries","Aluminium Industry","Primary Aluminium Smelting and Refining","0","0","0","0","0","0","49.512333"
"Ore and Mineral Industries","Aluminium Industry","Secondary Aluminium Production (Includes Recycling)","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Asphalt Paving Industry","","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Asphalt Paving Industry","Asphalt Paving Industry","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Cement and Concrete Industry","","0","0","0","0","0","0","14.281223"
"Ore and Mineral Industries","Cement and Concrete Industry","Cement Manufacturing","0","0","0","0","0","0","12.385195"
"Ore and Mineral Industries","Cement and Concrete Industry","Concrete Batching and Products","0","0","0","0","0","0","0.000322"
"Ore and Mineral Industries","Cement and Concrete Industry","Gypsum Product Manufacturing","0","0","0","0","0","0","0.755283"
"Ore and Mineral Industries","Cement and Concrete Industry","Lime Manufacturing","0","0","0","0","0","0","1.140423"
"Ore and Mineral Industries","Foundries","","0","0","0","0","0","0","0.030526"
"Ore and Mineral Industries","Foundries","Die Casting","0","0","0","0","0","0","0.000782"
"Ore and Mineral Industries","Foundries","Ferrous Foundries","0","0","0","0","0","0","0.029744"
"Ore and Mineral Industries","Foundries","Non-ferrous Foundries","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Iron and Steel Industry","","0","0","0","0","0","0","117.477677"
"Ore and Mineral Industries","Iron and Steel Industry","Primary (Blast furnace and DRI)","0","0","0","0","0","0","117.187068"
"Ore and Mineral Industries","Iron and Steel Industry","Secondary (Electric Arc Furnaces)","0","0","0","0","0","0","0.290609"
"Ore and Mineral Industries","Iron and Steel Industry","Steel Recycling","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Iron Ore Pelletizing","","0","0","0","0","0","0","6.312137"
"Ore and Mineral Industries","Iron Ore Pelletizing","Iron Ore Pelletizing","0","0","0","0","0","0","6.312137"
"Ore and Mineral Industries","Mineral Products Industry","","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Mineral Products Industry","Brick Products","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Mineral Products Industry","Clay Products","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Mineral Products Industry","Other (Mineral Products Industry)","0","0","0","0","0","0","0"
"Ore and Mineral Industries","Mining and Rock Quarrying","","0","0","0","0","0","0","463.73823200000004"
"Ore and Mineral Industries","Mining and Rock Quarrying","Coal Mining Industry","0","0","0","0","0","0","4.732395"
"Ore and Mineral Industries","Mining and Rock Quarrying","Iron Ore Mining","0","0","0","0","0","0","18.301134"
"Ore and Mineral Industries","Mining and Rock Quarrying","Limestone","0","0","0","0","0","0","0.013822"
"Ore and Mineral Industries","Mining and Rock Quarrying","Metal Mining","0","0","0","0","0","0","171.53889"
"Ore and Mineral Industries","Mining and Rock Quarrying","Potash","0","0","0","0","0","0","23.319065"
"Ore and Mineral Industries","Mining and Rock Quarrying","Rock, Sand and Gravel","0","0","0","0","0","0","0.059873"
