"Source","Sector","SubSector","2016","2017","2018","2019","2020","2021","2022"
"Ore and Mineral Industries","","","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Ore and Mineral Industries","Aluminium Industry","","1226.8899999999999","1232.8","1192.85","1135.6399999999999","1126.8600000000001","1031.78","NaN"
"Ore and Mineral Industries","Aluminium Industry","Alumina (Bauxite Refining)","310","304","282","219","225","245","0"
"Ore and Mineral Industries","Aluminium Industry","Primary Aluminium Smelting and Refining","916.89","928.8","910.85","916.64","901.86","786.78","612.56"
"Ore and Mineral Industries","Asphalt Paving Industry","","442.51","828.68","851.47","806.84","810.59","902.18","769.7"
"Ore and Mineral Industries","Asphalt Paving Industry","Asphalt Paving Industry","442.51","828.68","851.47","806.84","810.59","902.18","769.7"
"Ore and Mineral Industries","Cement and Concrete Industry","","32124.56","33919.17","35229.83","31344.61","30003.29","30690.729999999996","25155.339999999997"
"Ore and Mineral Industries","Cement and Concrete Industry","Cement Manufacturing","27607.08","29316.13","30550.12","27761.45","26415.66","26814.87","20790.52"
"Ore and Mineral Industries","Cement and Concrete Industry","Concrete Batching and Products","176.73","50.06","35.11","0.93","1.24","0.76","0.62"
"Ore and Mineral Industries","Cement and Concrete Industry","Gypsum Product Manufacturing","174.79","213.53","229.27","229.62","228.86","223.64","228.92"
"Ore and Mineral Industries","Cement and Concrete Industry","Lime Manufacturing","4165.96","4339.45","4415.33","3352.61","3357.53","3651.46","4135.28"
"Ore and Mineral Industries","Foundries","","96.44","NaN","NaN","NaN","NaN","NaN","NaN"
"Ore and Mineral Industries","Foundries","Die Casting","0.4","0.34","0.47","0.26","0.33","0.53","0.52"
"Ore and Mineral Industries","Foundries","Ferrous Foundries","84.74","92.86","89.92","82.65","77.5","83.5","74.11"
"Ore and Mineral Industries","Foundries","Non-ferrous Foundries","11.3","0","0","0","0","0","0"
"Ore and Mineral Industries","Iron and Steel Industry","","10795.57","10738.42","10863.79","10500.93","8563.689999999999","9222.619999999999","9892.970000000001"
"Ore and Mineral Industries","Iron and Steel Industry","Primary (Blast furnace and DRI)","7859.35","7812.9","8355.34","8024.76","6325.7","6658.38","7236.46"
"Ore and Mineral Industries","Iron and Steel Industry","Secondary (Electric Arc Furnaces)","2936.22","2925.52","2508.45","2476.17","2237.99","2564.24","2656.51"
"Ore and Mineral Industries","Iron Ore Pelletizing","","10167.37","10226.95","8531.16","9781.93","9329.1","9520.25","9848.21"
"Ore and Mineral Industries","Iron Ore Pelletizing","Iron Ore Pelletizing","10167.37","10226.95","8531.16","9781.93","9329.1","9520.25","9848.21"
"Ore and Mineral Industries","Mineral Products Industry","","NaN","NaN","237.66","NaN","NaN","NaN","NaN"
"Ore and Mineral Industries","Mineral Products Industry","Brick Products","117.4","108.41","112.24","75.37","93.63","121.21","97.49"
"Ore and Mineral Industries","Mineral Products Industry","Clay Products","0","0","0.7","0","0","0","0"
"Ore and Mineral Industries","Mineral Products Industry","Other (Mineral Products Industry)","179.77","179.31","124.72","131.94","124.73","142.11","118.12"
"Ore and Mineral Industries","Mining and Rock Quarrying","","20035.64","26995.820000000003","23206.28","24918.44","25353.510000000002","29577.009999999995","29904.11"
"Ore and Mineral Industries","Mining and Rock Quarrying","Coal Mining Industry","725.43","3878.86","1484.65","2074.48","2309.77","2497.73","2656.71"
"Ore and Mineral Industries","Mining and Rock Quarrying","Iron Ore Mining","1314.06","1656.56","1376.13","1650.32","1814.02","2188.86","2321"
"Ore and Mineral Industries","Mining and Rock Quarrying","Limestone","171.14","195.05","242.51","324.76","211.03","197.08","210.07"
"Ore and Mineral Industries","Mining and Rock Quarrying","Metal Mining","8024.81","11713.25","10872.23","11931.16","14993.64","15837.56","15773.62"
"Ore and Mineral Industries","Mining and Rock Quarrying","Potash","2198.97","2223.65","2231.36","2213.1","2042.79","2340.1","2330.16"
"Ore and Mineral Industries","Mining and Rock Quarrying","Rock, Sand and Gravel","828.55","776.95","558.35","653.87","473.36","777.51","687.59"
"Ore and Mineral Industries","Mining and Rock Quarrying","Other (Mining and Rock Quarrying)","6772.68","6551.5","6441.05","6070.75","3508.9","5738.17","5924.96"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","","1860.17","1737.45","1586.91","1835.6000000000001","1401.11","1217.01","1149.57"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","Primary Ni, Cu, Zn, Pb","1831.69","1715.91","1565.91","1791.7","1360.01","1184.21","1127.27"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","Secondary Pb, Cu","28.48","21.54","21","43.9","41.1","32.8","22.3"
"Oil and Gas Industry","","","NaN","463788.74999999994","469980.23999999993","468411.12","444128.97000000003","NaN","443332.92999999993"
"Oil and Gas Industry","Downstream Oil and Gas Industry","","NaN","16691.460000000003","16822.580000000005","16242.019999999999","16832.32","NaN","16813.429999999997"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Petroleum Refining","16722.97","16534.4","16476.99","15945","16694.87","16399.23","16661.84"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Refined Petroleum Products Bulk Storage and Distribution","0","0","23.06","23.98","1.89","12.1","4.07"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Natural Gas Distribution","143.24","112.54","126.58","131.32","107.7","99.63","116.17"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Other (Downstream Oil and Gas Industry)","0","44.52","195.95","141.72","27.86","0","31.35"
"Oil and Gas Industry","Upstream Oil and Gas Industry","","439252.05","447097.2899999999","453157.66","452169.10000000003","427296.65","422287.35","426519.49999999994"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Disposal and Waste Treatment","22.52","23.48","22.01","19.94","21.7","23.3","25.14"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Heavy Crude Oil Cold Production","14621.37","14541.82","14914.11","13978.33","12066.93","12198.91","12656.66"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Light/Medium Crude Oil Production","39070.2","39579.57","41652.27","40902.94","37496.94","36130.51","36140.57"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Natural Gas Production and Processing","313520.38","316374.89","318727.65","314949.63","297480.86","297266.15","298970.57"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Natural Gas Transmission and Storage","20326.8","19829.74","20719.05","20445.67","17902.29","18122.77","19346.66"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Oil Sands In-Situ Extraction","20387.45","22515.05","22706.41","24068.2","23170.94","23462.67","22967.81"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Oil Sands Mining, Extraction and Upgrading","31180.08","34069.68","34299.99","37659.43","38803.93","34751.77","36131.44"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Petroleum Liquids Storage","47.81","58.04","33.48","106.69","326.14","294.82","244.73"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Petroleum Liquids Transportation","0.37","0.36","0.36","0.31","0.34","0.35","0.36"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Well Drilling/Servicing/Testing","75.07","104.66","82.33","37.96","26.58","36.1","35.56"
"Electric Power Generation (Utilities)","","","152235.8","144793.08","128891.62000000001","124857.36","101788.69","98443.3","90905.38"
"Electric Power Generation (Utilities)","Coal","","116608.84","110251.68","92032.95","87600.22","66273.97","66843.89","58601.87"
"Electric Power Generation (Utilities)","Coal","Coal","116608.84","110251.68","92032.95","87600.22","66273.97","66843.89","58601.87"
"Electric Power Generation (Utilities)","Diesel","","9074.76","8940.22","9792.93","9948.81","9781.86","6866.07","7101.12"
"Electric Power Generation (Utilities)","Diesel","Diesel","9074.76","8940.22","9792.93","9948.81","9781.86","6866.07","7101.12"
"Electric Power Generation (Utilities)","Natural Gas","","16343.69","15931.65","18152.3","18464.11","17692.89","17809.82","17868.57"
"Electric Power Generation (Utilities)","Natural Gas","Natural Gas","16343.69","15931.65","18152.3","18464.11","17692.89","17809.82","17868.57"
"Electric Power Generation (Utilities)","Landfill Gas","","196.88","216.83","154.16","135.17","132.72","102.36","103.27"
"Electric Power Generation (Utilities)","Landfill Gas","Landfill Gas","196.88","216.83","154.16","135.17","132.72","102.36","103.27"
"Electric Power Generation (Utilities)","Other (Electric Power Generation)","","10011.63","9452.7","8759.28","8709.05","7907.25","6821.16","7230.55"
"Electric Power Generation (Utilities)","Other (Electric Power Generation)","Other (Electric Power Generation)","10011.63","9452.7","8759.28","8709.05","7907.25","6821.16","7230.55"
"Electric Power Generation (Utilities)","Hydroelectricity","","0","0","0","0","0","0","0"
"Electric Power Generation (Utilities)","Nuclear","","0","0","0","0","0","0","0"
"Electric Power Generation (Utilities)","Solid Biomass","","0","0","0","0","0","0","0"
"Manufacturing","","","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Manufacturing","Abrasives Manufacturing","","0","0","0","0","0","0","0"
"Manufacturing","Bakeries","","0.89","0.95","NaN","NaN","NaN","NaN","NaN"
"Manufacturing","Bakeries","Bakeries","0.89","0.95","0","0","0","0","0"
"Manufacturing","Biofuel Production","","15.66","17.91","33.1","12.66","33.27","22.55","20.72"
"Manufacturing","Biofuel Production","Biofuel Production","15.66","17.91","33.1","12.66","33.27","22.55","20.72"
"Manufacturing","Chemicals Industry","","22807.439999999995","23406.510000000002","24866.13","23911.559999999998","NaN","NaN","NaN"
"Manufacturing","Chemicals Industry","Chemical Manufacturing","8912.92","8705.72","9444.04","9078.28","8794.65","8771.73","8175.31"
"Manufacturing","Chemicals Industry","Cleaning Compound Manufacturing","65.97","63.3","51.75","50.34","56.91","42.55","38.4"
"Manufacturing","Chemicals Industry","Fertilizer Production","8326.06","9248.78","9338.01","8968.05","9564.88","9648.89","8393.24"
"Manufacturing","Chemicals Industry","Paint and Varnish Manufacturing","2.91","3.38","3.94","3.84","0","0","0"
"Manufacturing","Chemicals Industry","Petrochemical Industry","5007.58","4894.7","5431.07","5180.2","5121.65","4695","4590.7"
"Manufacturing","Chemicals Industry","Plastics and Synthetic Resins Fabrication","348.73","302.39","364.44","381.64","402.15","417.66","384.9"
"Manufacturing","Chemicals Industry","Other (Chemical Industry)","143.27","188.24","232.88","249.21","216.85","164.48","127.62"
"Manufacturing","Electronics","","0.01","NaN","NaN","NaN","NaN","NaN","NaN"
"Manufacturing","Electronics","Electronics","0.01","0","0","0","0","0","0"
"Manufacturing","Food Preparation","","1736.42","1933.82","1885","1674.76","1670.89","1678.98","1519.27"
"Manufacturing","Food Preparation","Food Preparation","1736.42","1933.82","1885","1674.76","1670.89","1678.98","1519.27"
"Manufacturing","Glass Manufacturing","","783.41","782.81","766.57","745.81","748.82","704.82","677.82"
"Manufacturing","Glass Manufacturing","Glass Manufacturing","783.41","782.81","766.57","745.81","748.82","704.82","677.82"
"Manufacturing","Grain Industry","","758.62","1099.6","824.47","929.03","433.43","958.59","938.93"
"Manufacturing","Grain Industry","Grain Processing","758.62","1099.6","824.47","929.03","433.43","958.59","938.93"
"Manufacturing","Metal Fabrication","","217.16","173.57","220.94","187.69","199.26","179.99","189.2"
"Manufacturing","Metal Fabrication","Metal Fabrication","217.16","173.57","220.94","187.69","199.26","179.99","189.2"
"Manufacturing","Plastics Manufacturing","","10.56","13.05","17.8","18.89","12.2","13.39","11.83"
"Manufacturing","Plastics Manufacturing","Plastics Manufacturing","10.56","13.05","17.8","18.89","12.2","13.39","11.83"
"Manufacturing","Pulp and Paper Industry","","NaN","NaN","28307.03","27468.82","25386.329999999998","25128.280000000002","25945.030000000002"
"Manufacturing","Pulp and Paper Industry","Converted Paper Product Manufacturing","0","0","4.69","4.84","7.07","27.74","26.2"
"Manufacturing","Pulp and Paper Industry","Pulp and Paper Product Manufacturing","28710.07","29245","28302.34","27463.98","25379.26","25100.54","25918.83"
"Manufacturing","Textiles","","7.78","7.77","7.74","6.14","0.2","NaN","NaN"
"Manufacturing","Textiles","Textiles","7.78","7.77","7.74","6.14","0.2","0","0"
"Manufacturing","Vehicle Manufacturing (Engines, Parts, Assembly, Painting)","","651.72","628.29","684.31","641.14","465.94","468.33","503.33"
"Manufacturing","Vehicle Manufacturing (Engines, Parts, Assembly, Painting)","Vehicle Manufacturing (Engines, Parts, Assembly, Painting)","651.72","628.29","684.31","641.14","465.94","468.33","503.33"
"Manufacturing","Wood Products","","11977.99","11211.74","10975.929999999998","10606.05","9975.79","13902.83","14208.230000000001"
"Manufacturing","Wood Products","Panel Board Mills","5571.76","5437.6","4963.28","4998.69","4510.7","7697.49","7399.06"
"Manufacturing","Wood Products","Sawmills","5902.1","5260.45","5492.77","4689.59","4388.39","5302.6","5795.82"
"Manufacturing","Wood Products","Other (Wood Products)","504.13","513.69","519.88","917.77","1076.7","902.74","1013.35"
"Manufacturing","Other (Manufacturing)","","510.45","417.99","544.23","541.11","380.62","553.22","589"
"Manufacturing","Other (Manufacturing)","Other (Manufacturing)","510.45","417.99","544.23","541.11","380.62","553.22","589"
"Transportation and Mobile Equipment","","","634778.3200000001","644949.12","620809.25","607875.02","539566.68","546156","544439.9700000001"
"Transportation and Mobile Equipment","Air Transportation (LTO)","","7303.14","7592.75","8479.73","8517.68","4570.77","4921.5","7228.34"
"Transportation and Mobile Equipment","Air Transportation (LTO)","Air Transportation (LTO)","7303.14","7592.75","8479.73","8517.68","4570.77","4921.5","7228.34"
"Transportation and Mobile Equipment","Domestic Marine Navigation, Fishing and Military","","67110.68","82601.73","72887.84","92468.65","103441.74","116515.95","126726.72"
"Transportation and Mobile Equipment","Domestic Marine Navigation, Fishing and Military","Domestic Marine Navigation, Fishing and Military","67110.68","82601.73","72887.84","92468.65","103441.74","116515.95","126726.72"
"Transportation and Mobile Equipment","Heavy-duty Diesel Vehicles","","175259.62","162512.07","157509.31","142520.41","122209.84","125096.29","120980.93"
"Transportation and Mobile Equipment","Heavy-duty Diesel Vehicles","Heavy-duty Diesel Vehicles","175259.62","162512.07","157509.31","142520.41","122209.84","125096.29","120980.93"
"Transportation and Mobile Equipment","Heavy-duty Gasoline Vehicles","","10849.15","9616.25","9065.91","7580.13","5648.96","5279.23","4729.11"
"Transportation and Mobile Equipment","Heavy-duty Gasoline Vehicles","Heavy-duty Gasoline Vehicles","10849.15","9616.25","9065.91","7580.13","5648.96","5279.23","4729.11"
"Transportation and Mobile Equipment","Heavy-duty LPG/NG Vehicles","","97.32","100.88","102.62","109.27","102.81","108.14","119.38"
"Transportation and Mobile Equipment","Heavy-duty LPG/NG Vehicles","Heavy-duty LPG/NG Vehicles","97.32","100.88","102.62","109.27","102.81","108.14","119.38"
"Transportation and Mobile Equipment","Light-duty Diesel Trucks","","827.62","683.44","670.04","625.56","548.77","610.12","632.02"
"Transportation and Mobile Equipment","Light-duty Diesel Trucks","Light-duty Diesel Trucks","827.62","683.44","670.04","625.56","548.77","610.12","632.02"
"Transportation and Mobile Equipment","Light-duty Diesel Vehicles","","354.69","323.08","296.91","257.54","179.99","187.98","184.15"
"Transportation and Mobile Equipment","Light-duty Diesel Vehicles","Light-duty Diesel Vehicles","354.69","323.08","296.91","257.54","179.99","187.98","184.15"
"Transportation and Mobile Equipment","Light-duty Gasoline Trucks","","38379.87","32909.69","30779.16","28160.94","21798.86","21179.29","21468.39"
"Transportation and Mobile Equipment","Light-duty Gasoline Trucks","Light-duty Gasoline Trucks","38379.87","32909.69","30779.16","28160.94","21798.86","21179.29","21468.39"
"Transportation and Mobile Equipment","Light-duty Gasoline Vehicles","","23109.64","19637.98","18044.25","16221.52","11163.53","10205.07","9603.39"
"Transportation and Mobile Equipment","Light-duty Gasoline Vehicles","Light-duty Gasoline Vehicles","23109.64","19637.98","18044.25","16221.52","11163.53","10205.07","9603.39"
"Transportation and Mobile Equipment","Light-duty LPG/NG Trucks","","11.15","8.09","10.4","9.2","5.04","6.12","5.83"
"Transportation and Mobile Equipment","Light-duty LPG/NG Trucks","Light-duty LPG/NG Trucks","11.15","8.09","10.4","9.2","5.04","6.12","5.83"
"Transportation and Mobile Equipment","Light-duty LPG/NG Vehicles","","0.26","0.24","0.13","0.19","0.09","0.11","0.09"
"Transportation and Mobile Equipment","Light-duty LPG/NG Vehicles","Light-duty LPG/NG Vehicles","0.26","0.24","0.13","0.19","0.09","0.11","0.09"
"Transportation and Mobile Equipment","Motorcycles","","1595.55","1626.96","1674.52","1726.8","1406.05","1392.57","1343.94"
"Transportation and Mobile Equipment","Motorcycles","Motorcycles","1595.55","1626.96","1674.52","1726.8","1406.05","1392.57","1343.94"
"Transportation and Mobile Equipment","Off-road Diesel Vehicles and Equipment","","187206.39","200414.72","195684.85","183992.05","154713.39","149694.93","142399.16"
"Transportation and Mobile Equipment","Off-road Diesel Vehicles and Equipment","Off-road Diesel Vehicles and Equipment","187206.39","200414.72","195684.85","183992.05","154713.39","149694.93","142399.16"
"Transportation and Mobile Equipment","Off-road Gasoline/LPG/NG vehicles and Equipment","","36736.79","36165.71","35716.37","35616.27","33393.47","34168.44","32251.16"
"Transportation and Mobile Equipment","Off-road Gasoline/LPG/NG vehicles and Equipment","Off-road Gasoline/LPG/NG vehicles and Equipment","36736.79","36165.71","35716.37","35616.27","33393.47","34168.44","32251.16"
"Transportation and Mobile Equipment","Rail Transportation","","85936.45","90755.53","89887.21","90068.81","80383.37","76790.26","76767.36"
"Transportation and Mobile Equipment","Rail Transportation","Rail Transportation","85936.45","90755.53","89887.21","90068.81","80383.37","76790.26","76767.36"
"Transportation and Mobile Equipment","Tire wear and Brake Lining","","0","0","0","0","0","0","0"
"Agriculture","","","2885.25","2797.69","2804.12","2864.79","2637.19","2683.8","2864.55"
"Agriculture","Animal Production","","0","0","0","0","0","0","0"
"Agriculture","Crop Production","","0","0","0","0","0","0","0"
"Agriculture","Agricultural Fuel Combustion","","2885.25","2797.69","2804.12","2864.79","2637.19","2683.8","2864.55"
"Agriculture","Agricultural Fuel Combustion","Agricultural Fuel Combustion","2885.25","2797.69","2804.12","2864.79","2637.19","2683.8","2864.55"
"Commercial/Residential/Institutional","","","72396.35","74356.47","75496.61","75981.05","70544.89","67329","71362.01000000001"
"Commercial/Residential/Institutional","Commercial and Institutional Fuel Combustion","","28803.84","30280.79","30837.79","31765.93","29146.54","27244.96","29073.31"
"Commercial/Residential/Institutional","Commercial and Institutional Fuel Combustion","Commercial and Institutional Fuel Combustion","28803.84","30280.79","30837.79","31765.93","29146.54","27244.96","29073.31"
"Commercial/Residential/Institutional","Commercial Cooking","","0","0","0","0","0","0","0"
"Commercial/Residential/Institutional","Construction Fuel Combustion","","2589.94","2656.34","2769.76","3005.12","2956.31","2970.7","3338.37"
"Commercial/Residential/Institutional","Construction Fuel Combustion","Construction Fuel Combustion","2589.94","2656.34","2769.76","3005.12","2956.31","2970.7","3338.37"
"Commercial/Residential/Institutional","Home Firewood Burning","","11618.66","11770.69","11217.31","9985.45","9116.42","8704.6","9226.86"
"Commercial/Residential/Institutional","Home Firewood Burning","Home Firewood Burning","11618.66","11770.69","11217.31","9985.45","9116.42","8704.6","9226.86"
"Commercial/Residential/Institutional","Human","","0","0","0","0","0","0","0"
"Commercial/Residential/Institutional","Marine Cargo Handling","","24.18","28.03","25.95","37.69","17.59","22.28","53.39"
"Commercial/Residential/Institutional","Marine Cargo Handling","Marine Cargo Handling","24.18","28.03","25.95","37.69","17.59","22.28","53.39"
"Commercial/Residential/Institutional","Residential Fuel Combustion","","29359.73","29620.62","30645.8","31186.86","29308.03","28386.46","29670.08"
"Commercial/Residential/Institutional","Residential Fuel Combustion","Residential Fuel Combustion","29359.73","29620.62","30645.8","31186.86","29308.03","28386.46","29670.08"
"Commercial/Residential/Institutional","Service Stations","","0","0","0","0","0","0","0"
"Commercial/Residential/Institutional","Other (Miscellaneous)","","0","0","0","0","0","0","0"
"Incineration and Waste","","","NaN","NaN","4366.62","4463.74","NaN","NaN","NaN"
"Incineration and Waste","Crematoriums","","278.58","290.17999999999995","300.37","306.70000000000005","327.98","332.07000000000005","347.78"
"Incineration and Waste","Crematoriums","Human Crematoriums","153.03","161.73","168.96","171.61","187.99","190.55","205.26"
"Incineration and Waste","Crematoriums","Pet Crematoriums","125.55","128.45","131.41","135.09","139.99","141.52","142.52"
"Incineration and Waste","Waste Incineration","","1817.5699999999997","2039.25","1833.6799999999998","1829.1999999999998","1773.87","1729.4099999999999","1670.8"
"Incineration and Waste","Waste Incineration","Hazardous Waste Incineration","149.14","189.41","176.6","278.26","142.76","164.07","84.32"
"Incineration and Waste","Waste Incineration","Medical Waste Incineration","6.97","9.07","10.9","9.99","12.83","10.85","11.34"
"Incineration and Waste","Waste Incineration","Municipal Incineration","1141.09","1139.82","990","982.87","1054.48","931.61","977.06"
"Incineration and Waste","Waste Incineration","Residential Waste Burning","44.35","44.9","45.53","44.69","44.93","45.16","45.93"
"Incineration and Waste","Waste Incineration","Sewage Sludge Incineration","415.15","595.18","549.78","452.52","458","516.85","491.28"
"Incineration and Waste","Waste Incineration","Other (Waste Incineration)","60.87","60.87","60.87","60.87","60.87","60.87","60.87"
