"Source","Sector","SubSector","1990","1991","1992","1993","1994","1995","1996"
"Ore and Mineral Industries","","","389758.7799999999","453504.26","482765.2899999999","478259.34000000014","461862.8399999999","457718.61","447250.3099999999"
"Ore and Mineral Industries","Aluminium Industry","","240235.15","303749.49","339884.69","329101.14","318322.14","298043.54000000004","283779.19000000006"
"Ore and Mineral Industries","Aluminium Industry","Alumina (Bauxite Refining)","115.42","138.47","131.32","161.82","192.32","96.18","124.57"
"Ore and Mineral Industries","Aluminium Industry","Primary Aluminium Smelting and Refining","240106.43","303598.13","339740.88","328923.88","318115.42","297930.33","283635.03"
"Ore and Mineral Industries","Aluminium Industry","Secondary Aluminium Production (Includes Recycling)","13.3","12.89","12.49","15.44","14.4","17.03","19.59"
"Ore and Mineral Industries","Asphalt Paving Industry","","4228.88","3832.45","3849.1","3651.31","4074.31","3955.5","3909.16"
"Ore and Mineral Industries","Asphalt Paving Industry","Asphalt Paving Industry","4228.88","3832.45","3849.1","3651.31","4074.31","3955.5","3909.16"
"Ore and Mineral Industries","Cement and Concrete Industry","","15343.039999999999","14836.57","14822.8","17051.899999999998","19777.43","16950.719999999998","17608.870000000003"
"Ore and Mineral Industries","Cement and Concrete Industry","Cement Manufacturing","10486.81","9930.74","9903.05","10219.38","11003.92","11806.55","12646.02"
"Ore and Mineral Industries","Cement and Concrete Industry","Concrete Batching and Products","181.4","164.27","163.47","142.39","125.91","138.89","133.26"
"Ore and Mineral Industries","Cement and Concrete Industry","Gypsum Product Manufacturing","27.67","31.44","32.39","35.15","43.88","36.98","39.24"
"Ore and Mineral Industries","Cement and Concrete Industry","Lime Manufacturing","4647.16","4710.12","4723.89","6654.98","8603.72","4968.3","4790.35"
"Ore and Mineral Industries","Foundries","","49781.770000000004","42725.840000000004","42253","37856.09","34591.17","45719.67999999999","47171.83"
"Ore and Mineral Industries","Foundries","Die Casting","274.16","262.15","295.11","341.31","378.64","460.56","402.29"
"Ore and Mineral Industries","Foundries","Ferrous Foundries","49461.13","42416.9","41898.08","37442.28","34138.75","45177.45","46685.73"
"Ore and Mineral Industries","Foundries","Non-ferrous Foundries","46.48","46.79","59.81","72.5","73.78","81.67","83.81"
"Ore and Mineral Industries","Iron and Steel Industry","","43670.77","42472.09","44768.09","45460.439999999995","46713.850000000006","49944.600000000006","50958.07"
"Ore and Mineral Industries","Iron and Steel Industry","Primary (Blast furnace and DRI)","29996.58","27505.19","28749.07","30310.35","32290.75","33757.15","35385.85"
"Ore and Mineral Industries","Iron and Steel Industry","Secondary (Electric Arc Furnaces)","13522.31","14833.16","15891.88","15016.55","14273.94","16029.98","15416.19"
"Ore and Mineral Industries","Iron and Steel Industry","Steel Recycling","151.88","133.74","127.14","133.54","149.16","157.47","156.03"
"Ore and Mineral Industries","Iron Ore Pelletizing","","813.31","845.92","824.66","926.65","1028.63","1116.66","1377.38"
"Ore and Mineral Industries","Iron Ore Pelletizing","Iron Ore Pelletizing","813.31","845.92","824.66","926.65","1028.63","1116.66","1377.38"
"Ore and Mineral Industries","Mineral Products Industry","","4759.38","4140.33","3666.8199999999997","3876.69","4150.610000000001","4210.29","4049.8599999999997"
"Ore and Mineral Industries","Mineral Products Industry","Brick Products","685.99","715.71","594.69","573.53","604.96","618.37","608.91"
"Ore and Mineral Industries","Mineral Products Industry","Clay Products","267.59","267.89","172.57","162.87","163.98","218.01","212.04"
"Ore and Mineral Industries","Mineral Products Industry","Other (Mineral Products Industry)","3805.8","3156.73","2899.56","3140.29","3381.67","3373.91","3228.91"
"Ore and Mineral Industries","Mining and Rock Quarrying","","30665.440000000002","40654.87","32444.739999999994","40077.84999999999","32945.020000000004","37508.85","38132.54"
"Ore and Mineral Industries","Mining and Rock Quarrying","Coal Mining Industry","230.6","201.71","172.5","182.09","172.96","155.84","160.75"
"Ore and Mineral Industries","Mining and Rock Quarrying","Iron Ore Mining","16958.01","27179.95","18891.67","26515.68","19042.07","23468.5","23869.85"
"Ore and Mineral Industries","Mining and Rock Quarrying","Metal Mining","9341.67","9141.29","9427.7","9374.54","9671.22","9804.96","9937.94"
"Ore and Mineral Industries","Mining and Rock Quarrying","Potash","1732.65","1745.21","1757.76","1770.31","1782.86","1795.42","1807.66"
"Ore and Mineral Industries","Mining and Rock Quarrying","Rock, Sand and Gravel","655.97","648.16","637.35","663.27","681.24","693.81","710.84"
"Ore and Mineral Industries","Mining and Rock Quarrying","Other (Mining and Rock Quarrying)","1746.54","1738.55","1557.76","1571.96","1594.67","1590.32","1645.5"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","","261.04","246.7","251.39000000000001","257.27","259.68","268.77","263.41"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","Primary Ni, Cu, Zn, Pb","181.55","186.21","190.24","190.53","192.81","191.96","186.11"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","Secondary Pb, Cu","21.62","21.26","25.72","29.4","29.32","34.65","30.99"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","Other (Non-Ferrous Refining and Smelting Industry)","57.87","39.23","35.43","37.34","37.55","42.16","46.31"
"Oil and Gas Industry","","","333674.3999999999","323822.64999999997","338379.55000000005","360679.14999999997","397824.68","405245.07","417451.91000000003"
"Oil and Gas Industry","Downstream Oil and Gas Industry","","29114.780000000002","28071.71","26260.15","24415.079999999998","24443.510000000002","23745.23","22403.9"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Petroleum Refining","19898.96","19029.17","17209.8","15277.46","15297.59","22826.9","21485.47"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Refined Petroleum Products Bulk Storage and Distribution","308.81","158.7","148.49","222.29","210.74","183.95","179.21"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Refined Petroleum Product Pipelines","8205","8205","8205","8205","8205","53.76","41.97"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Natural Gas Distribution","373.18","370.52","389.31","405.3","416.66","424.95","437.08"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Other (Downstream Oil and Gas Industry)","328.83","308.32","307.55","305.03","313.52","255.67","260.17"
"Oil and Gas Industry","Upstream Oil and Gas Industry","","304559.61999999994","295750.94","312119.4","336264.07","373381.17","381499.84","395048.01"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Disposal and Waste Treatment","79.33","91.53","95.35","84.16","78.96","79.47","75.66"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Heavy Crude Oil Cold Production","16428.3","16860.47","18259.59","19686.57","20884.88","21785.81","22437.71"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Light/Medium Crude Oil Production","33011.22","32523.32","33652.26","35752.18","41189.08","44042.6","45787.04"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Natural Gas Production and Processing","200726.58","194581.56","207836.66","226485.1","254295.7","270948.49","281139.34"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Natural Gas Transmission and Storage","22056.41","22629.75","23796.33","24771.2","25499.1","13325.32","13030.26"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Oil Sands In-Situ Extraction","1704.24","1606.52","1708.13","1884.54","2133.66","2293.37","2398.45"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Oil Sands Mining, Extraction and Upgrading","29531.12","26611.27","25911.23","26110.04","27193.34","27108","27788.52"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Petroleum Liquids Transportation","27.1","31.23","32.52","28.75","27.01","27.21","25.97"
