NUMBER,SOURCE,NAME,COUNTRY,FUEL,CEDS_SECTOR,COMMENT,CEDS_COMMENT
18,Oil and Gas,Novopolotsk,Belarus,,1A1a_Electricity-public,Novopolotsk oil power plant,"Novopolotsk does have an oil refinery, which is why this may have ended up in 'Oil and Gas'. However in CEDS, majority of emissions associated with heat production, and then elec production. Almost no emissions attributed to 1B2. There is also a power plant, as commented, which uses oil and gas! But then this should be in 1A1a."
68,Smelter,Mariupol,Ukraine,process,2C1_Iron-steel-alloy-prod,Mariupol iron/steel factories,https://en.wikipedia.org/wiki/Azovstal_Iron_and_Steel_Works
125,Oil and Gas,Aliaga Kardemir,Turkey,process,2B_Chemical-industry,Aliaga Kardemir refinery and power plant,"Near-zero emissions in 1B2 sector in Turkey. However, there are multiple oil refineries in the area, and petrochemical plants. There are some 2B emissions in CEDS in Turkey, so we will assume it's catching these sources."
223,Oil and Gas,Zagroz,Iran,process,2B_Chemical-industry,Petrochemical complex,"Massive complex of petrochemical plants. Includes and oil refinery in the area. Again, could probably be included in multiple, though mostly seems like 2B_Chemical-Industry, which Iran has some emissions in this sector in CEDS"
259,Oil and Gas,Linhai,Taiwan,hard_coal,1A2c_Ind-Comb-Chemicals,Linhai Industrial Park,"Chemical processing plants in the area. CEDS in Taiwan has near zero 1B2 emissions, but significant 1A2c_Ind-Comb-Chemicals"
287,Smelter,Manchester,Jamaica,process,2C3_Aluminum-production,Bauxite plants. May not be correct position of the source.,
315,Oil and Gas,Tacoa,Venezuela,,1A1a_Electricity-public,Tacoa,Appears to actually be a heavy oil power plant (http://www.hpi-llc.com/expertise/turnkey-power-plants/epc-projects/tacoa-power-barge) (https://www.industrialfireworld.com/540292/tacoa-venezuela-dec-19-1982)
368,Smelter,Noranda,Chile,process,2C4_Non-Ferrous-other-metals,,"Copper, zinc, nickel mines and smelter. More recently alumninum smelting took over. Perhaps for recent years, like OMI years, should be 2C3. However, all emissions in Chile in CEDS are in 2C4, NF metals (https://www.referenceforbusiness.com/history2/44/Noranda-Inc.html)"
397,Smelter,Rudny,Kazakhstan,hard_coal,1A2a_Ind-Comb-Iron-steel,"Rudny Smelter (Iron), Kazakhstan",
448,Oil and Gas,Zhenhai,China,process,2B_Chemical-industry,Zhenhai Refining & Chemical,"In China, next to no emisisons in 1B2. Lots in 2B_Chem-ind and 1A2c_Ind-Comb-Chemicals. Here default chem processes to 2B"
483,Smelter,Qingzhen,China,process,2C3_Aluminum-production,"Multiple sources near Qingzhen. Strong and significant signal, but not sure about the exact source type and location.",Lots of bauxite mines and aluminum processing/smelters in the area. (see here https://www.asianmetal.cn/news/data/2135962/ and https://www.cmgroup.net/news/guizhou-qingzhen-bx-mining-capacity-5-mtpy/)
496,Oil and Gas,Jilin,China,process,2B_Chemical-industry,CNCP (PetroChina) Jilin Chemical Refinery,"In China, next to no emisisons in 1B2. Lots in 2B_Chem-ind and 1A2c_Ind-Comb-Chemicals. Here default chem processes to 2B"
497,Oil and Gas,Jinzhou,China,process,2B_Chemical-industry,CNCP (PetroChina) Jinzhou Petrochemical Refinery,"In China, next to no emisisons in 1B2. Lots in 2B_Chem-ind and 1A2c_Ind-Comb-Chemicals. Here default chem processes to 2B"
528,Oil and Gas,Maoming,China,process,2B_Chemical-industry,,"Multiple cement factories, oil farms and other petrochemical complexes in the area. Default to 2B, though could belong in multiple sectors."
529,Oil and Gas,Xiashan,China,process,2B_Chemical-industry,,Multiple chemical/petrochemical plants in the area
535,Oil and Gas,Chovar,Iran,process,2B_Chemical-industry,,Petrochemical plant creating mostly HDPE plastics
564,Smelter,Zestafoni,Georgia,heavy_oil,1A2g_Ind-Comb-other,,"Appears to be refrencing mining operation (https://mmi.ge/10247-history-of-development-of-metallurgy-in-georgia.html). In CEDS, mining emissions in Georgia are zero. Instead, they appear in `other`"
565,Smelter,Yangjiazhangzi,China,process,2C3_Aluminum-production,No information,Known for its mines being a major supplier of the worlds Molybdenum
584,Smelter,Khouzestan,Iran,natural_gas,1A2a_Ind-Comb-Iron-steel,Steel Factory,"Clearly labeled steel factory, so belongs in 1A2a. However, may consider attributing elsewhere, as Iran has very little emissions in this sector in CEDS."
585,Smelter,Zarand,Iran,natural_gas,1A2a_Ind-Comb-Iron-steel,Steel Factory,"Clearly labeled steel factory, so belongs in 1A2a. However, may consider attributing elsewhere, as Iran has very little emissions in this sector in CEDS."
