NUMBER,SOURCE,NAME,COUNTRY,FUEL,CEDS_SECTOR,COMMENT,CEDS_COMMENT
18,Oil and Gas,Novopolotsk,Belarus,,1A1a_Electricity-public,Novopolotsk oil power plant,"Novopolotsk does have an oil refinery, which is why this may have ended up in 'Oil and Gas'. However in CEDS, majority of emissions associated with heat production, and then elec production. Almost no emissions attributed to 1B2. There is also a power plant, as commented, which uses oil and gas! But then this should be in 1A1a."
39,Oil and Gas,Orenburg,Russia,process,1B2b_Fugitive-NG-prod,"Gas refinery, power plant within 20 km",CEDS emissions in Russia given to 1B2 in this category
68,Smelter,Mariupol,Ukraine,process,2C1_Iron-steel-alloy-prod,Mariupol iron/steel factories,https://en.wikipedia.org/wiki/Azovstal_Iron_and_Steel_Works
70,Oil and Gas,Astrakhan,Russia,process,1B2_Fugitive-petr,"Gas refinery, power plant within 20 km",CEDS emissions in Russia given to 1B2 in this category
87,Oil and Gas,Lacq,France,process,1B2_Fugitive-petr,Lacq gas field and sulfur factory,"Not sure where to put a gas field and sulfur plant. Probably 1B2, but France has emissions in lots of plausible sectors. (https://totalenergies.com/media/news/news/lacq-exemplary-industrial-reconversion)"
121,Oil and Gas,Mubarek,Uzbekistan,process,1B2b_Fugitive-NG-prod,"Mubarec gap processing plant, other oil and gas industrial sources",Large gas plant. Lines up with CEDS emissions in UZB being 1B2b_Fugitive-NG-prod
125,Oil and Gas,Aliaga Kardemir,Turkey,process,2B_Chemical-industry,Aliaga Kardemir refinery and power plant,"Near-zero emissions in 1B2 sector in Turkey. However, there are multiple oil refineries in the area, and petrochemical plants. There are some 2B emissions in CEDS in Turkey, so we will assume it's catching these sources."
150,Oil and Gas,Khangiran,Iran,process,1B2b_Fugitive-NG-prod,Shahid Hashemmiejad (Khangiran) Gas refinery,"In Iran, the large majority of emissions in CEDS come from 1B2, and thus is our default labeling in Iran. There are other sectors that contribute non-insignfigant emissions which we would consider further."
167,Oil and Gas,Arak,Iran,process,1B2_Fugitive-petr,Arak refinery and power plant,"In Iran, the large majority of emissions in CEDS come from 1B2, and thus is our default labeling in Iran. There are other sectors that contribute non-insignfigant emissions which we would consider further."
200,Oil and Gas,Bandar Imam,Iran,process,1B2_Fugitive-petr,Bandar Imam Petrochemical complexesand power plant? Other sources.,"Multiple petrochemical plants, and multiple oil refineries. Attribute to 1B2 as explained for Iran's default."
223,Oil and Gas,Zagroz,Iran,process,2B_Chemical-industry,Petrochemical complex,"Massive complex of petrochemical plants. Includes and oil refinery in the area. Again, could probably be included in multiple, though mostly seems like 2B_Chemical-Industry, which Iran has some emissions in this sector in CEDS"
231,Oil and Gas,Cadereyta,Mexico,process,1B2_Fugitive-petr,Refineria Pemex Cadereyta,"Extremely large portion of CEDS emissions in Mexico are from 1B2 sector, so by default, ""refineries"" --> 1B2"
232,Oil and Gas,Al Hofuf,Saudi Arabia,process,1B2_Fugitive-petr,Unknown source near Al Hofuf,Possibly the Ghawar Oil Fields
234,Oil and Gas,Das Island,United Arab Emirates,process,1B2_Fugitive-petr,,This island is a known producer of oil and gas. Plus a vast majority of emissions come from 1B2 in the UAE.
259,Oil and Gas,Linhai,Taiwan,hard_coal,1A2c_Ind-Comb-Chemicals,Linhai Industrial Park,"Chemical processing plants in the area. CEDS in Taiwan has near zero 1B2 emissions, but significant 1A2c_Ind-Comb-Chemicals"
262,Oil and Gas,Essar,India,process,,"Essar Oil refinery, other sources","Refineries, but virtually no emissions in 1B2 or 1Abc in India"
263,Oil and Gas,Tampico,Mexico,process,1B2_Fugitive-petr,"Pemex Ciudad Madero Refinery, Altamira Oil power plant 25 km north-west","Extremely large portion of CEDS emissions in Mexico are from 1B2 sector, so by default, ""refineries"" --> 1B2"
276,Oil and Gas,Tula,Mexico,process,1B2_Fugitive-petr,"Refinery, other sources","Extremely large portion of CEDS emissions in Mexico are from 1B2 sector, so by default, ""refineries"" --> 1B2"
287,Smelter,Manchester,Jamaica,process,2C3_Aluminum-production,Bauxite plants. May not be correct position of the source.,
308,Oil and Gas,Valero,Aruba,process,1B2_Fugitive-petr,Valero Aruba Refinery (275000 bbl/day),Cleary a large oil refinery and belongs in 1B2
