em,sector,year,seasonality_file
BC,ENE,2015,ENE_seasonality
BC,ENE,2014,ENE_seasonality
BC,ENE,2013,ENE_seasonality
BC,ENE,2012,ENE_seasonality
BC,ENE,2011,ENE_seasonality
BC,ENE,2010,ENE_seasonality
BC,ENE,2009,ENE_seasonality
BC,ENE,2008,ENE_seasonality
BC,ENE,2007,ENE_seasonality
BC,ENE,2006,ENE_seasonality
BC,ENE,2005,ENE_seasonality
BC,ENE,2004,ENE_seasonality
BC,ENE,2003,ENE_seasonality
BC,ENE,2002,ENE_seasonality
BC,ENE,2001,ENE_seasonality
BC,ENE,2000,ENE_seasonality
BC,ENE,1999,ENE_seasonality
BC,ENE,1998,ENE_seasonality
BC,ENE,1997,ENE_seasonality
BC,ENE,1996,ENE_seasonality
BC,ENE,1995,ENE_seasonality
BC,ENE,1994,ENE_seasonality
BC,ENE,1993,ENE_seasonality
BC,ENE,1992,ENE_seasonality
BC,ENE,1991,ENE_seasonality
BC,ENE,1990,ENE_seasonality
BC,ENE,1989,ENE_seasonality
BC,ENE,1988,ENE_seasonality
BC,ENE,1987,ENE_seasonality
BC,ENE,1986,ENE_seasonality
BC,ENE,1985,ENE_seasonality
BC,ENE,1984,ENE_seasonality
BC,ENE,1983,ENE_seasonality
BC,ENE,1982,ENE_seasonality
BC,ENE,1981,ENE_seasonality
BC,ENE,1980,ENE_seasonality
BC,ENE,1979,ENE_seasonality
BC,ENE,1978,ENE_seasonality
BC,ENE,1977,ENE_seasonality
BC,ENE,1976,ENE_seasonality
BC,ENE,1975,ENE_seasonality
BC,ENE,1974,ENE_seasonality
BC,ENE,1973,ENE_seasonality
BC,ENE,1972,ENE_seasonality
BC,ENE,1971,ENE_seasonality
BC,ENE,1970,ENE_seasonality
BC,ENE,1969,ENE_seasonality
BC,ENE,1968,ENE_seasonality
BC,ENE,1967,ENE_seasonality
BC,ENE,1966,ENE_seasonality
BC,ENE,1965,ENE_seasonality
BC,ENE,1964,ENE_seasonality
BC,ENE,1963,ENE_seasonality
BC,ENE,1962,ENE_seasonality
BC,ENE,1961,ENE_seasonality
BC,ENE,1960,ENE_seasonality
BC,ENE,1959,ENE_seasonality
BC,ENE,1958,ENE_seasonality
BC,ENE,1957,ENE_seasonality
BC,ENE,1956,ENE_seasonality
BC,ENE,1955,ENE_seasonality
BC,ENE,1954,ENE_seasonality
BC,ENE,1953,ENE_seasonality
BC,ENE,1952,ENE_seasonality
BC,ENE,1951,ENE_seasonality
BC,ENE,1950,ENE_seasonality
BC,ENE,1949,ENE_seasonality
BC,ENE,1948,ENE_seasonality
BC,ENE,1947,ENE_seasonality
BC,ENE,1946,ENE_seasonality
BC,ENE,1945,ENE_seasonality
BC,ENE,1944,ENE_seasonality
BC,ENE,1943,ENE_seasonality
BC,ENE,1942,ENE_seasonality
BC,ENE,1941,ENE_seasonality
BC,ENE,1940,ENE_seasonality
BC,ENE,1939,ENE_seasonality
BC,ENE,1938,ENE_seasonality
