em,sector,year,proxy_file,proxybackup_file
BC,SHP,1750,BC_1750_SHP,global_proxy
BC,SHP,1751,BC_1751_SHP,global_proxy
BC,SHP,1752,BC_1752_SHP,global_proxy
BC,SHP,1753,BC_1753_SHP,global_proxy
BC,SHP,1754,BC_1754_SHP,global_proxy
BC,SHP,1755,BC_1755_SHP,global_proxy
BC,SHP,1756,BC_1756_SHP,global_proxy
BC,SHP,1757,BC_1757_SHP,global_proxy
BC,SHP,1758,BC_1758_SHP,global_proxy
BC,SHP,1759,BC_1759_SHP,global_proxy
BC,SHP,1760,BC_1760_SHP,global_proxy
BC,SHP,1761,BC_1761_SHP,global_proxy
BC,SHP,1762,BC_1762_SHP,global_proxy
BC,SHP,1763,BC_1763_SHP,global_proxy
BC,SHP,1764,BC_1764_SHP,global_proxy
BC,SHP,1765,BC_1765_SHP,global_proxy
BC,SHP,1766,BC_1766_SHP,global_proxy
BC,SHP,1767,BC_1767_SHP,global_proxy
BC,SHP,1768,BC_1768_SHP,global_proxy
BC,SHP,1769,BC_1769_SHP,global_proxy
BC,SHP,1770,BC_1770_SHP,global_proxy
BC,SHP,1771,BC_1771_SHP,global_proxy
BC,SHP,1772,BC_1772_SHP,global_proxy
BC,SHP,1773,BC_1773_SHP,global_proxy
BC,SHP,1774,BC_1774_SHP,global_proxy
BC,SHP,1775,BC_1775_SHP,global_proxy
BC,SHP,1776,BC_1776_SHP,global_proxy
BC,SHP,1777,BC_1777_SHP,global_proxy
BC,SHP,1778,BC_1778_SHP,global_proxy
BC,SHP,1779,BC_1779_SHP,global_proxy
BC,SHP,1780,BC_1780_SHP,global_proxy
BC,SHP,1781,BC_1781_SHP,global_proxy
BC,SHP,1782,BC_1782_SHP,global_proxy
BC,SHP,1783,BC_1783_SHP,global_proxy
BC,SHP,1784,BC_1784_SHP,global_proxy
BC,SHP,1785,BC_1785_SHP,global_proxy
BC,SHP,1786,BC_1786_SHP,global_proxy
BC,SHP,1787,BC_1787_SHP,global_proxy
BC,SHP,1788,BC_1788_SHP,global_proxy
BC,SHP,1789,BC_1789_SHP,global_proxy
BC,SHP,1790,BC_1790_SHP,global_proxy
BC,SHP,1791,BC_1791_SHP,global_proxy
BC,SHP,1792,BC_1792_SHP,global_proxy
BC,SHP,1793,BC_1793_SHP,global_proxy
BC,SHP,1794,BC_1794_SHP,global_proxy
BC,SHP,1795,BC_1795_SHP,global_proxy
BC,SHP,1796,BC_1796_SHP,global_proxy
BC,SHP,1797,BC_1797_SHP,global_proxy
BC,SHP,1798,BC_1798_SHP,global_proxy
BC,SHP,1799,BC_1799_SHP,global_proxy
BC,SHP,1800,BC_1800_SHP,global_proxy
BC,SHP,1801,BC_1801_SHP,global_proxy
BC,SHP,1802,BC_1802_SHP,global_proxy
BC,SHP,1803,BC_1803_SHP,global_proxy
BC,SHP,1804,BC_1804_SHP,global_proxy
BC,SHP,1805,BC_1805_SHP,global_proxy
BC,SHP,1806,BC_1806_SHP,global_proxy
BC,SHP,1807,BC_1807_SHP,global_proxy
BC,SHP,1808,BC_1808_SHP,global_proxy
BC,SHP,1809,BC_1809_SHP,global_proxy
BC,SHP,1810,BC_1810_SHP,global_proxy
BC,SHP,1811,BC_1811_SHP,global_proxy
BC,SHP,1812,BC_1812_SHP,global_proxy
BC,SHP,1813,BC_1813_SHP,global_proxy
BC,SHP,1814,BC_1814_SHP,global_proxy
BC,SHP,1815,BC_1815_SHP,global_proxy
BC,SHP,1816,BC_1816_SHP,global_proxy
BC,SHP,1817,BC_1817_SHP,global_proxy
BC,SHP,1818,BC_1818_SHP,global_proxy
BC,SHP,1819,BC_1819_SHP,global_proxy
BC,SHP,1820,BC_1820_SHP,global_proxy
BC,SHP,1821,BC_1821_SHP,global_proxy
BC,SHP,1822,BC_1822_SHP,global_proxy
BC,SHP,1823,BC_1823_SHP,global_proxy
BC,SHP,1824,BC_1824_SHP,global_proxy
BC,SHP,1825,BC_1825_SHP,global_proxy
BC,SHP,1826,BC_1826_SHP,global_proxy
BC,SHP,1827,BC_1827_SHP,global_proxy
BC,SHP,1828,BC_1828_SHP,global_proxy
BC,SHP,1829,BC_1829_SHP,global_proxy
BC,SHP,1830,BC_1830_SHP,global_proxy
BC,SHP,1831,BC_1831_SHP,global_proxy
BC,SHP,1832,BC_1832_SHP,global_proxy
BC,SHP,1833,BC_1833_SHP,global_proxy
BC,SHP,1834,BC_1834_SHP,global_proxy
BC,SHP,1835,BC_1835_SHP,global_proxy
BC,SHP,1836,BC_1836_SHP,global_proxy
BC,SHP,1837,BC_1837_SHP,global_proxy
BC,SHP,1838,BC_1838_SHP,global_proxy
BC,SHP,1839,BC_1839_SHP,global_proxy
BC,SHP,1840,BC_1840_SHP,global_proxy
BC,SHP,1841,BC_1841_SHP,global_proxy
BC,SHP,1842,BC_1842_SHP,global_proxy
BC,SHP,1843,BC_1843_SHP,global_proxy
BC,SHP,1844,BC_1844_SHP,global_proxy
BC,SHP,1845,BC_1845_SHP,global_proxy
BC,SHP,1846,BC_1846_SHP,global_proxy
BC,SHP,1847,BC_1847_SHP,global_proxy
BC,SHP,1848,BC_1848_SHP,global_proxy
BC,SHP,1849,BC_1849_SHP,global_proxy
BC,SHP,1850,BC_1850_SHP,global_proxy
BC,SHP,1851,BC_1851_SHP,global_proxy
BC,SHP,1852,BC_1852_SHP,global_proxy
BC,SHP,1853,BC_1853_SHP,global_proxy
BC,SHP,1854,BC_1854_SHP,global_proxy
BC,SHP,1855,BC_1855_SHP,global_proxy
BC,SHP,1856,BC_1856_SHP,global_proxy
BC,SHP,1857,BC_1857_SHP,global_proxy
BC,SHP,1858,BC_1858_SHP,global_proxy
BC,SHP,1859,BC_1859_SHP,global_proxy
BC,SHP,1860,BC_1860_SHP,global_proxy
BC,SHP,1861,BC_1861_SHP,global_proxy
BC,SHP,1862,BC_1862_SHP,global_proxy
BC,SHP,1863,BC_1863_SHP,global_proxy
BC,SHP,1864,BC_1864_SHP,global_proxy
BC,SHP,1865,BC_1865_SHP,global_proxy
BC,SHP,1866,BC_1866_SHP,global_proxy
BC,SHP,1867,BC_1867_SHP,global_proxy
BC,SHP,1868,BC_1868_SHP,global_proxy
BC,SHP,1869,BC_1869_SHP,global_proxy
BC,SHP,1870,BC_1870_SHP,global_proxy
BC,SHP,1871,BC_1871_SHP,global_proxy
BC,SHP,1872,BC_1872_SHP,global_proxy
BC,SHP,1873,BC_1873_SHP,global_proxy
BC,SHP,1874,BC_1874_SHP,global_proxy
BC,SHP,1875,BC_1875_SHP,global_proxy
BC,SHP,1876,BC_1876_SHP,global_proxy
BC,SHP,1877,BC_1877_SHP,global_proxy
BC,SHP,1878,BC_1878_SHP,global_proxy
BC,SHP,1879,BC_1879_SHP,global_proxy
BC,SHP,1880,BC_1880_SHP,global_proxy
BC,SHP,1881,BC_1881_SHP,global_proxy
BC,SHP,1882,BC_1882_SHP,global_proxy
BC,SHP,1883,BC_1883_SHP,global_proxy
BC,SHP,1884,BC_1884_SHP,global_proxy
BC,SHP,1885,BC_1885_SHP,global_proxy
BC,SHP,1886,BC_1886_SHP,global_proxy
BC,SHP,1887,BC_1887_SHP,global_proxy
BC,SHP,1888,BC_1888_SHP,global_proxy
BC,SHP,1889,BC_1889_SHP,global_proxy
BC,SHP,1890,BC_1890_SHP,global_proxy
BC,SHP,1891,BC_1891_SHP,global_proxy
BC,SHP,1892,BC_1892_SHP,global_proxy
BC,SHP,1893,BC_1893_SHP,global_proxy
BC,SHP,1894,BC_1894_SHP,global_proxy
BC,SHP,1895,BC_1895_SHP,global_proxy
BC,SHP,1896,BC_1896_SHP,global_proxy
BC,SHP,1897,BC_1897_SHP,global_proxy
BC,SHP,1898,BC_1898_SHP,global_proxy
BC,SHP,1899,BC_1899_SHP,global_proxy
BC,SHP,1900,BC_1900_SHP,global_proxy
BC,SHP,1901,BC_1901_SHP,global_proxy
BC,SHP,1902,BC_1902_SHP,global_proxy
BC,SHP,1903,BC_1903_SHP,global_proxy
BC,SHP,1904,BC_1904_SHP,global_proxy
BC,SHP,1905,BC_1905_SHP,global_proxy
BC,SHP,1906,BC_1906_SHP,global_proxy
BC,SHP,1907,BC_1907_SHP,global_proxy
BC,SHP,1908,BC_1908_SHP,global_proxy
BC,SHP,1909,BC_1909_SHP,global_proxy
BC,SHP,1910,BC_1910_SHP,global_proxy
BC,SHP,1911,BC_1911_SHP,global_proxy
BC,SHP,1912,BC_1912_SHP,global_proxy
BC,SHP,1913,BC_1913_SHP,global_proxy
BC,SHP,1914,BC_1914_SHP,global_proxy
BC,SHP,1915,BC_1915_SHP,global_proxy
BC,SHP,1916,BC_1916_SHP,global_proxy
BC,SHP,1917,BC_1917_SHP,global_proxy
BC,SHP,1918,BC_1918_SHP,global_proxy
BC,SHP,1919,BC_1919_SHP,global_proxy
BC,SHP,1920,BC_1920_SHP,global_proxy
