"em","sector","year","proxy_file","proxybackup_file"
"BC","AIR",1750,"BC_1920_AIR","population_1750"
"BC","AIR",1751,"BC_1920_AIR","population_1751"
"BC","AIR",1752,"BC_1920_AIR","population_1752"
"BC","AIR",1753,"BC_1920_AIR","population_1753"
"BC","AIR",1754,"BC_1920_AIR","population_1754"
"BC","AIR",1755,"BC_1920_AIR","population_1755"
"BC","AIR",1756,"BC_1920_AIR","population_1756"
"BC","AIR",1757,"BC_1920_AIR","population_1757"
"BC","AIR",1758,"BC_1920_AIR","population_1758"
"BC","AIR",1759,"BC_1920_AIR","population_1759"
"BC","AIR",1760,"BC_1920_AIR","population_1760"
"BC","AIR",1761,"BC_1920_AIR","population_1761"
"BC","AIR",1762,"BC_1920_AIR","population_1762"
"BC","AIR",1763,"BC_1920_AIR","population_1763"
"BC","AIR",1764,"BC_1920_AIR","population_1764"
"BC","AIR",1765,"BC_1920_AIR","population_1765"
"BC","AIR",1766,"BC_1920_AIR","population_1766"
"BC","AIR",1767,"BC_1920_AIR","population_1767"
"BC","AIR",1768,"BC_1920_AIR","population_1768"
"BC","AIR",1769,"BC_1920_AIR","population_1769"
"BC","AIR",1770,"BC_1920_AIR","population_1770"
"BC","AIR",1771,"BC_1920_AIR","population_1771"
"BC","AIR",1772,"BC_1920_AIR","population_1772"
"BC","AIR",1773,"BC_1920_AIR","population_1773"
"BC","AIR",1774,"BC_1920_AIR","population_1774"
"BC","AIR",1775,"BC_1920_AIR","population_1775"
"BC","AIR",1776,"BC_1920_AIR","population_1776"
"BC","AIR",1777,"BC_1920_AIR","population_1777"
"BC","AIR",1778,"BC_1920_AIR","population_1778"
"BC","AIR",1779,"BC_1920_AIR","population_1779"
"BC","AIR",1780,"BC_1920_AIR","population_1780"
"BC","AIR",1781,"BC_1920_AIR","population_1781"
"BC","AIR",1782,"BC_1920_AIR","population_1782"
"BC","AIR",1783,"BC_1920_AIR","population_1783"
"BC","AIR",1784,"BC_1920_AIR","population_1784"
"BC","AIR",1785,"BC_1920_AIR","population_1785"
"BC","AIR",1786,"BC_1920_AIR","population_1786"
"BC","AIR",1787,"BC_1920_AIR","population_1787"
"BC","AIR",1788,"BC_1920_AIR","population_1788"
"BC","AIR",1789,"BC_1920_AIR","population_1789"
"BC","AIR",1790,"BC_1920_AIR","population_1790"
"BC","AIR",1791,"BC_1920_AIR","population_1791"
"BC","AIR",1792,"BC_1920_AIR","population_1792"
"BC","AIR",1793,"BC_1920_AIR","population_1793"
"BC","AIR",1794,"BC_1920_AIR","population_1794"
"BC","AIR",1795,"BC_1920_AIR","population_1795"
"BC","AIR",1796,"BC_1920_AIR","population_1796"
"BC","AIR",1797,"BC_1920_AIR","population_1797"
"BC","AIR",1798,"BC_1920_AIR","population_1798"
"BC","AIR",1799,"BC_1920_AIR","population_1799"
"BC","AIR",1800,"BC_1920_AIR","population_1800"
"BC","AIR",1801,"BC_1920_AIR","population_1801"
"BC","AIR",1802,"BC_1920_AIR","population_1802"
"BC","AIR",1803,"BC_1920_AIR","population_1803"
"BC","AIR",1804,"BC_1920_AIR","population_1804"
"BC","AIR",1805,"BC_1920_AIR","population_1805"
"BC","AIR",1806,"BC_1920_AIR","population_1806"
"BC","AIR",1807,"BC_1920_AIR","population_1807"
"BC","AIR",1808,"BC_1920_AIR","population_1808"
"BC","AIR",1809,"BC_1920_AIR","population_1809"
"BC","AIR",1810,"BC_1920_AIR","population_1810"
"BC","AIR",1811,"BC_1920_AIR","population_1811"
"BC","AIR",1812,"BC_1920_AIR","population_1812"
"BC","AIR",1813,"BC_1920_AIR","population_1813"
"BC","AIR",1814,"BC_1920_AIR","population_1814"
"BC","AIR",1815,"BC_1920_AIR","population_1815"
"BC","AIR",1816,"BC_1920_AIR","population_1816"
"BC","AIR",1817,"BC_1920_AIR","population_1817"
"BC","AIR",1818,"BC_1920_AIR","population_1818"
"BC","AIR",1819,"BC_1920_AIR","population_1819"
"BC","AIR",1820,"BC_1920_AIR","population_1820"
"BC","AIR",1821,"BC_1920_AIR","population_1821"
"BC","AIR",1822,"BC_1920_AIR","population_1822"
"BC","AIR",1823,"BC_1920_AIR","population_1823"
"BC","AIR",1824,"BC_1920_AIR","population_1824"
"BC","AIR",1825,"BC_1920_AIR","population_1825"
"BC","AIR",1826,"BC_1920_AIR","population_1826"
"BC","AIR",1827,"BC_1920_AIR","population_1827"
"BC","AIR",1828,"BC_1920_AIR","population_1828"
"BC","AIR",1829,"BC_1920_AIR","population_1829"
"BC","AIR",1830,"BC_1920_AIR","population_1830"
"BC","AIR",1831,"BC_1920_AIR","population_1831"
"BC","AIR",1832,"BC_1920_AIR","population_1832"
"BC","AIR",1833,"BC_1920_AIR","population_1833"
"BC","AIR",1834,"BC_1920_AIR","population_1834"
"BC","AIR",1835,"BC_1920_AIR","population_1835"
"BC","AIR",1836,"BC_1920_AIR","population_1836"
"BC","AIR",1837,"BC_1920_AIR","population_1837"
"BC","AIR",1838,"BC_1920_AIR","population_1838"
"BC","AIR",1839,"BC_1920_AIR","population_1839"
"BC","AIR",1840,"BC_1920_AIR","population_1840"
"BC","AIR",1841,"BC_1920_AIR","population_1841"
"BC","AIR",1842,"BC_1920_AIR","population_1842"
"BC","AIR",1843,"BC_1920_AIR","population_1843"
"BC","AIR",1844,"BC_1920_AIR","population_1844"
"BC","AIR",1845,"BC_1920_AIR","population_1845"
"BC","AIR",1846,"BC_1920_AIR","population_1846"
"BC","AIR",1847,"BC_1920_AIR","population_1847"
"BC","AIR",1848,"BC_1920_AIR","population_1848"
"BC","AIR",1849,"BC_1920_AIR","population_1849"
"BC","AIR",1850,"BC_1920_AIR","population_1850"
"BC","AIR",1851,"BC_1920_AIR","population_1851"
"BC","AIR",1852,"BC_1920_AIR","population_1852"
"BC","AIR",1853,"BC_1920_AIR","population_1853"
"BC","AIR",1854,"BC_1920_AIR","population_1854"
"BC","AIR",1855,"BC_1920_AIR","population_1855"
