"ISO","UN code","Name",1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"AFG",4,"AFGHANISTAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.170000,18.010000,21.810000,29.070000,50.880000,61.780000,83.590000,87.220000,65.420000,47.100000,50.880000,47.350000,43.230000,46.430000,67.110000,70.300000,69.420000,79.240000,64.860000,57.600000,63.670000,23.280000,32.880000,39.080000,6.450000,47.960000,31.650000,37.560000,43.330000,42.940000,42.500000,45.770000,45.770000,45.770000,46.990000,46.990000,46.990000,47.400000,47.400000,47.400000,47.400000,10.220000,6.538000,11.030000,9.807000,9.807000,6.211000,12.180000,11.610000,15.240000,12.870000,14.550000,14.590000,28.930000,35.550000,28.640000,41.190000,76.130000,44.780000,56.880000,38.330000,60.670000,16.340000,10.620000,10.620000,10.620000
"ALB",8,"ALBANIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3.634000,7.269000,0,0,0,7.269000,0,0,0,0,0,0,0,0,7.180000,7.269000,7.198000,7.269000,7.269000,21.810000,32.710000,36.340000,39.980000,36.340000,36.340000,58.060000,58.150000,65.420000,61.780000,72.560000,69.150000,109,149,163.500000,178.300000,178.400000,196.900000,255.700000,278.400000,322.600000,349.100000,375,401.900000,424.300000,502.900000,396.100000,419.300000,423.700000,435.600000,432.600000,429.600000,438.100000,378.800000,386.800000,383.700000,307.500000,102.700000,102.800000,51.500000,103.200000,104.900000,51.760000,43.550000,55.050000,93.640000,0,0,302.400000,300.200000,256.500000,275.800000,467.800000,483.900000,585,837.700000,976.500000,1040,1129,1045,954.100000,880.500000,1011,927.600000,927.600000,1322,1312,906.700000,906.700000,906.700000
"DZA",12,"ALGERIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.440000,27.810000,32.710000,37.740000,43.610000,36.340000,47.250000,31.820000,32.710000,32.710000,0,0,0,0,0,39.980000,46.900000,50.880000,57.870000,61.780000,65.120000,62.030000,159.900000,221.700000,239.900000,254.600000,327.100000,334.400000,323.200000,352.500000,417.900000,472.500000,523.300000,530.300000,432.200000,436.100000,388.900000,367.300000,327.100000,359.600000,429,468.700000,457.900000,468.600000,443.400000,474.300000,435.800000,431.700000,625,782.200000,1165,1599,1729,1823,1761,1889,2131,2299,2384,2727,2546,2357,2143,2138,2399,2350,2061,2294,2526,2419,2650,2599,2943,2946,3024,3529,4035,4233,4442,4660,5092,5692,7746,7735,7543,7896,8087,8263,8928,10100,11400,12540,11880,11920,12840,12840,12840
"AND",20,"ANDORRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",24,"ANGOLA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,14.540000,21.580000,36.340000,43.610000,65.420000,83.590000,76.320000,79.420000,76.940000,83.330000,94.490000,105.400000,119.900000,130.800000,138.100000,152.300000,189.200000,221.500000,261.400000,308.700000,381.600000,374,323.500000,147.300000,145.600000,189.600000,187.400000,113.200000,115.200000,113.700000,99.170000,156.800000,154.700000,152.800000,150.800000,421.700000,416.400000,106.700000,106.600000,122.800000,102.200000,97.930000,81.480000,109.800000,122.300000,141.900000,83.820000,81.260000,221.500000,239.500000,279.600000,300,521.100000,539,542.100000,684.700000,693.200000,578.400000,764.900000,1147,1557,1976,2030,1500,995.900000,1007,1124,1085,1085,1124,1124,1124
"AIA",660,"ANGUILLA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",28,"ANTIGUA & BARBUDA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",32,"ARGENTINA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.300000,174.400000,189,265.300000,247.100000,254.500000,279.800000,356.300000,410.700000,512.300000,614.300000,556,534.400000,577.900000,530.700000,472.300000,534.200000,537.900000,563.300000,672.500000,617.800000,716,777.700000,770.500000,766.800000,817.700000,843.100000,923.100000,1021,1170,1221,1170,1305,1436,1446,1254,1439,1632,1723,1756,2064,2148,2344,2739,2705,2579,2687,2729,2860,3010,3175,3360,3601,3363,2852,2858,2658,2363,2838,3228,3106,2300,1862,2168,2474,2781,3087,2760,2718,3233,3468,3331,2657,2348,1728,2220,2887,3380,3797,4181,4243,4008,4353,4695,4533,4568,4479,4636,4133,4528,4535,4298,3642,4848,5255,5037,3731
"ARM",51,"ARMENIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.642000,4.505000,5.828000,6.238000,6.576000,5.157000,6.727000,8.544000,11.190000,10.440000,10.900000,10.900000,11.120000,11.130000,,,,3.475000,6.562000,9.287000,12.790000,15.520000,20.410000,24.110000,27.460000,31.120000,37.080000,43.960000,48.660000,56.640000,65.380000,76.230000,89.580000,100.200000,113.100000,120.500000,128.500000,143.400000,158.700000,168.300000,174,178.800000,189.900000,202.900000,213.900000,227.700000,242.700000,260.800000,265.900000,272.200000,272.300000,264.100000,268.700000,275.500000,270.100000,282.200000,288.900000,292.500000,304.100000,311.100000,317.600000,321.600000,380.200000,396.100000,99.460000,55.490000,31.970000,68.760000,78.410000,167.700000,209.300000,171.300000,138.800000,143.500000,211.400000,220.200000,298.300000,331.100000,338.200000,406.800000,412.200000,241.300000,288.300000,264.300000,277.900000,258.800000,243.600000,240.700000,154.100000,205.500000,315.100000,341.100000,412.700000,429.400000,579.500000,579.500000,579.500000
"ABW",533,"ARUBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
