ISO,UN code,Name,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,4,AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,18.17,18.01,21.81,29.07,50.88,61.78,83.59,87.22,65.42,47.1,50.88,47.35,43.23,46.43,67.11,70.3,69.42,79.24,64.86,57.6,63.67,23.28,32.88,39.08,6.45,47.96,31.65,37.56,43.33,42.94,42.5,45.77,45.77,45.77,46.99,46.99,46.99,47.4,47.4,47.4,47.4,10.22,6.538,11.03,9.807,9.807,6.211,12.18,11.61,15.24,12.87,14.55,14.59,28.93,35.55,28.64,41.19,76.13,44.78,56.88,38.33,60.67,60.67,60.67
ALB,8,ALBANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3.634,7.269,0,0,0,7.269,0,0,0,0,0,0,0,0,7.18,7.269,7.198,7.269,7.269,21.81,32.71,36.34,39.98,36.34,36.34,58.06,58.15,65.42,61.78,72.56,69.15,109,149,163.5,178.3,178.4,196.9,255.7,278.4,322.6,349.1,375,401.9,424.3,502.9,396.1,419.3,423.7,435.6,432.6,429.6,438.1,378.8,386.8,383.7,307.5,102.7,102.8,51.5,103.2,104.9,51.76,43.55,55.05,93.64,0,0,302.4,300.2,256.5,275.8,467.8,483.9,585,837.7,976.5,1040,1129,1045,954.1,880.5,1011,927.6,927.6,990.5,990.5,990.5
DZA,12,ALGERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.44,27.81,32.71,37.74,43.61,36.34,47.25,31.82,32.71,32.71,0,0,0,0,0,39.98,46.9,50.88,57.87,61.78,65.12,62.03,159.9,221.7,239.9,254.6,327.1,334.4,323.2,352.5,417.9,472.5,523.3,530.3,432.2,436.1,388.9,367.3,327.1,359.6,429,468.7,457.9,476.1,457.9,497.9,465.2,468.8,688.3,874.1,1321,1841,2022,2165,2126,2318,2661,2920,3083,3591,3415,3223,2989,2969,2998,2988,2821,3165,3006,3271,3446,3435,3789,3766,4058,4032,4897,5662,6540,7001,7583,8220,8252,8187,7697,7298,7668,8062,9105,10080,9746,10100,8958,8958,8958
AND,20,ANDORRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,24,ANGOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,14.54,21.58,36.34,43.61,65.42,83.59,76.32,79.42,76.94,83.33,94.49,105.4,119.9,130.8,138.1,152.3,189.2,221.5,261.4,308.7,381.6,374,323.5,147.3,145.6,189.6,187.4,113.2,115.2,113.7,99.17,156.8,154.7,152.8,150.8,421.7,416.4,106.7,106.6,122.8,102.2,97.93,81.48,109.8,122.3,141.9,83.82,81.26,221.5,239.5,279.6,300,521.1,539,542.1,684.7,693.2,578.4,764.9,1147,1557,1976,2030,1500,995.9,1038,957.1,1054,1054,1054
AIA,660,ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,28,ANTIGUA & BARBUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,32,ARGENTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.3,174.4,189,265.3,247.1,254.5,279.8,356.3,410.7,512.3,614.3,556,534.4,577.9,530.7,472.3,534.2,537.9,563.3,672.5,617.8,716,777.7,770.5,766.8,817.7,843.1,923.1,1021,1170,1221,1170,1305,1436,1446,1254,1439,1632,1723,1756,2064,2148,2344,2736,2699,2570,2675,2714,2841,2987,3148,3327,3562,3323,2815,2818,2618,2325,2789,3169,3047,2253,1822,2196,2495,2761,3050,2621,2422,3169,3283,3290,2771,2481,1729,2280,2701,3241,3764,3998,3990,3810,4178,4586,4184,4581,4336,4571,4029,4362,4369,4141,3508,4671,5063
ARM,51,ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.642,4.505,5.828,6.238,6.576,5.157,6.727,8.544,11.19,10.44,10.9,10.9,11.12,11.13,,,,3.475,6.562,9.287,12.79,15.52,20.41,24.11,27.46,31.12,37.08,43.96,48.66,56.64,65.38,76.23,89.58,100.2,113.1,120.5,128.5,143.4,158.7,168.3,174,178.8,189.9,202.9,213.9,227.7,242.7,260.8,265.9,272.2,272.3,264.1,268.7,275.5,270.1,282.2,288.9,292.5,304.1,311.1,317.6,321.6,380.2,396.1,99.46,55.49,31.97,68.76,78.41,167.7,209.3,171.3,138.8,143.5,211.4,220.2,298.3,331.1,338.2,406.8,412.2,241.3,288.3,264.3,277.9,258.8,243.6,240.7,154.1,205.5,315.1,341.1,412.7,412.7,412.7
ABW,533,ARUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
