iso,Country_Name,CDIAC
afg,Afghanistan,AFGHANISTAN
alb,Albania,ALBANIA
dza,Algeria,ALGERIA
fra,Andorra,ANDORRA
ago,Angola,ANGOLA
gbr,Anguilla,ANGUILLA
atg,Antigua and Barbuda,ANTIGUA & BARBUDA
arg,Argentina,ARGENTINA
arm,Armenia,ARMENIA
arm,Armenia,ARMENIA
abw,Aruba,ARUBA
aze,Azerbaijan,ARUBA
aus,Australia,AUSTRALIA
aut,Austria,AUSTRIA
aze,Azerbaijan,AZERBAIJAN
bhs,Bahamas,BAHAMAS
bhr,Bahrain,BAHRAIN
bgd,Bangladesh,BANGLADESH
brb,Barbados,BARBADOS
blr,Belarus,BELARUS
blr,Belarus,BELARUS
bel,Belgium,BELGIUM
blz,Belize,BELIZE
ben,Benin,BENIN
bmu,Bermuda,BERMUDA
btn,Bhutan,BHUTAN
bih,Bosnia and Herzegovina,BOSNIA & HERZEGOVINA
bwa,Botswana,BOTSWANA
bra,Brazil,BRAZIL
vgb,British Virgin Islands,BRITISH VIRGIN ISLANDS
brn,Brunei Darussalam,BRUNEI (DARUSSALAM)
bgr,Bulgaria,BULGARIA
bfa,Burkina Faso,BURKINA FASO
bdi,Burundi,BURUNDI
khm,Cambodia,CAMBODIA
can,Canada,CANADA
cpv,Cape Verde,CAPE VERDE
cym,Cayman Islands,CAYMAN ISLANDS
caf,Central African Republic,CENTRAL AFRICAN REPUBLIC
tcd,Chad,CHAD
chl,Chile,CHILE
chn,China,CHINA (MAINLAND)
col,Colombia,COLOMBIA
com,Comoros,COMOROS
cog,Congo,CONGO
cok,Cook Islands,COOK ISLANDS
cri,Costa Rica,COSTA RICA
civ,Cote dIvoire,COTE D IVOIRE
hrv,Croatia,CROATIA
hrv,Croatia,CROATIA
cub,Cuba,CUBA
cyp,Cyprus,CYPRUS
cze,Czech Republic,CZECH REPUBLIC
prk,Democratic Peoples Republic of Korea,DEMOCRATIC PEOPLE S REPUBLIC OF KOREA
cod,Democratic Republic of Congo,DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)
dnk,Denmark,DENMARK
dji,Djibouti,DJIBOUTI
dma,Dominica,DOMINICA
dom,Dominican Republic,DOMINICAN REPUBLIC
