iso,Country_Name,Andrew
abw,Aruba,Aruba
afg,Afghanistan,Afghanistan
ago,Angola,Angola
alb,Albania,Albania
ant,,
are,United Arab Emirates,United Arab Emirates
arg,Argentina,Argentina
arm,Armenia,Armenia
asm,American Samoa,
atg,Antigua and Barbuda,Antigua and Barbuda
aus,Australia,Australia
aut,Austria,Austria
aze,Azerbaijan,Azerbaijan
bdi,Burundi,Burundi
bel,Belgium,Belgium
ben,Benin,Benin
bfa,Burkina Faso,Burkina Faso
bgd,Bangladesh,Bangladesh
bgr,Bulgaria,Bulgaria
bhr,Bahrain,Bahrain
bhs,Bahamas,Bahamas
bih,Bosnia and Herzegovina,Bosnia and Herzegovina
blr,Belarus,Belarus
blx,Belgium-Luxembourg ,
blz,Belize,Belize
bmu,Bermuda,Bermuda
bol,Bolivia,Bolivia
bra,Brazil,Brazil
brb,Barbados,Barbados
brn,Brunei Darussalam,Brunei Darussalam
btn,Bhutan,Bhutan
bwa,Botswana,Botswana
caf,Central African Republic,Central African Republic
can,Canada,Canada
che,Switzerland,Switzerland
chl,Chile,Chile
chn,China,China
civ,Cote dIvoire,Côte d'Ivoire
cmr,Cameroon,Cameroon
cod,Democratic Republic of Congo,Democratic Republic of the Congo
cog,Congo,Congo
cok,Cook Islands,Cook Islands
col,Colombia,Colombia
com,Comoros,Comoros
cpv,Cape Verde,Cape Verde
cri,Costa Rica,Costa Rica
csk,Czechoslovakia,
cub,Cuba,Cuba
cuw,Curacao,Curaçao
cym,Cayman Islands,
cyp,Cyprus,Cyprus
cze,Czech Republic,Czechia
deu,Germany,Germany
dji,Djibouti,Djibouti
dma,Dominica,Dominica
dnk,Denmark,Denmark
dom,Dominican Republic,Dominican Republic
dza,Algeria,Algeria
ecu,Ecuador,Ecuador
egy,Egypt,Egypt
eri,Eritrea,Eritrea
esh,Western Sahara,
esp,Spain,Spain
est,Estonia,Estonia
eth,Ethiopia,Ethiopia
fin,Finland,Finland
fji,Fiji,Fiji
flk,Falkland Islands,
fra,France,France
reu,Reunion islands,
fro,Faeroe Islands,
fsm,Federated States of Micronesia,Micronesia (Federated States of)
fsm,Nauru,Nauru
gab,Gabon,Gabon
kna,Anguilla,Anguilla
,Saint Helena,Saint Helena
gbr,United Kingdom,United Kingdom
geo,Georgia,Georgia
gha,Ghana,Ghana
gib,Gibraltar,
gin,Guinea,Guinea
glp,Guadeloupe,
gmb,Gambia,Gambia
gnb,Guinea-Bissau,Guinea-Bissau
gnq,Equatorial Guinea,Equatorial Guinea
grc,Greece,Greece
grd,Grenada,Grenada
grl,Greenland,
gtm,Guatemala,Guatemala
guf,French Guiana,
guy,Guyana,Guyana
hkg,"Hong Kong, China",Hong Kong
hnd,Honduras,Honduras
hrv,Croatia,Croatia
hti,Haiti,Haiti
hun,Hungary,Hungary
idn,Indonesia,Indonesia
ind,India,India
irl,Ireland,Ireland
irn,Islamic Republic of Iran,Iran
irq,Iraq,Iraq
isl,Iceland,Iceland
isr,Israel,Israel
ita,Italy,Italy
jam,Jamaica,Jamaica
jor,Jordan,Jordan
jpn,Japan,Japan
kaz,Kazakhstan,Kazakhstan
ken,Kenya,Kenya
kgz,Kyrgyzstan,Kyrgyzstan
khm,Cambodia,Cambodia
kir,Kiribati,Kiribati
kna,Saint Kitts and Nevis,Saint Kitts and Nevis
kor,Republic of Korea,South Korea
kwt,Kuwait,Kuwait
lao,Laos,Laos
lbn,Lebanon,Lebanon
lbr,Liberia,Liberia
lby,Libya,Libya
lca,Saint Lucia,Saint Lucia
lie,Liechtenstein,Liechtenstein
lka,Sri Lanka,Sri Lanka
lso,Lesotho,Lesotho
ltu,Lithuania,Lithuania
lux,Luxembourg,Luxembourg
lva,Latvia,Latvia
mac,Macao,Macao
mar,Morocco,Morocco
mda,Moldova,Moldova
mdg,Madagascar,Madagascar
mdv,Maldives,Maldives
mex,Mexico,Mexico
mhl,Marshall Islands,Marshall Islands
mkd,Macedonia,FYR Macedonia
mli,Mali,Mali
mlt,Malta,Malta
mmr,Myanmar (Burma),Myanmar
mne,Montenegro,
mng,Mongolia,Mongolia
moz,Mozambique,Mozambique
mrt,Mauritania,Mauritania
msr,Montserrat,Montserrat
mtq,Martinique,
mus,Mauritius,Mauritius
mwi,Malawi,Malawi
mys,Malaysia,Malaysia
nam,Namibia,Namibia
ncl,New Caledonia,New Caledonia
ner,Niger,Niger
nga,Nigeria,Nigeria
nic,Nicaragua,Nicaragua
niu,Niue,Niue
nld,Netherlands,Netherlands
nor,Norway,Norway
npl,Nepal,Nepal
nzl,New Zealand,New Zealand
omn,Oman,Oman
pak,Pakistan,Pakistan
pan,Panama,Panama
per,Peru,Peru
phl,Philippines,Philippines
plw,Palau,Palau
png,Papua New Guinea,Papua New Guinea
pol,Poland,Poland
pri,Puerto Rico,Puerto Rico
prk,Democratic Peoples Republic of Korea,North Korea
prt,Portugal,Portugal
pry,Paraguay,Paraguay
pse,Palestine,Occupied Palestinian Territory
pyf,French Polynesia,French Polynesia
qat,Qatar,Qatar
reu,Reunion,
rou,Romania,Romania
rus,Russia,Russia
rwa,Rwanda,Rwanda
sau,Saudi Arabia,Saudi Arabia
scg,Serbia and Montenegro,
sdn,Sudan,Sudan
sen,Senegal,Senegal
sgp,Singapore,Singapore
slb,Soloman Islands,Solomon Islands
sle,Sierra Leone,Sierra Leone
slv,El Salvador,El Salvador
som,Somalia,Somalia
spm,Saint Pierre and Miquelon,
srb,Serbia,Serbia
srb (Kosovo),Kosovo,
ssd,South Sudan,South Sudan
stp,Sao Tome and Principe,Sao Tome and Principe
sur,Suriname,Suriname
svk,Slovakia,Slovakia
svn,Slovenia,Slovenia
swe,Sweden,Sweden
swz,Swaziland,Swaziland
sxm,Sint Maarten,Sint Maarten (Dutch part)
syc,Seychelles,Seychelles
syr,Syria,Syria
tca,Turks and Caicos Islands,Turks and Caicos Islands
tcd,Chad,Chad
tgo,Togo,Togo
tha,Thailand,Thailand
tjk,Tajikistan,Tajikistan
tkl,Tokelau,
tkm,Turkmenistan,Turkmenistan
tls,Timor-Leste,Timor-Leste
ton,Tonga,Tonga
tto,Trinidad and Tobago,Trinidad and Tobago
tun,Tunisia,Tunisia
tur,Turkey,Turkey
twn,Chinese Taipei,Taiwan
tza,Tanzania,Tanzania
uga,Uganda,Uganda
ukr,Ukraine,Ukraine
ury,Uruguay,Uruguay
usa,United States,USA
USSR,Soviet Union,
uzb,Uzbekistan,Uzbekistan
vct,Saint Vincent And Grenadines,Saint Vincent and the Grenadines
ven,Venezuela,Venezuela
vgb,British Virgin Islands,British Virgin Islands
vir,United States Virgin Islands,
vnm,Vietnam,Viet Nam
vut,Vanuatu,Vanuatu
wlf,Wallis and Futuna Islands,Wallis and Futuna Islands
wsm,Samoa,Samoa
yem,Yemen,Yemen
yug,Yugoslavia,
scg,Yugoslavia,
zaf,South Africa,South Africa
zmb,Zambia,Zambia
zwe,Zimbabwe,Zimbabwe
aus,Australia,Christmas Island
pan,Panama,Panama Canal Zone
FRENCH_EQUATORIAL_AFRICA,,French Equatorial Africa
FRENCH_WEST_AFRICA,,French West Africa
LEEWARD ISLANDS,,Leeward Islands
plw,,Pacific Islands (Palau)
jpn,,Ryukyu Islands
kna,,St. Kitts-Nevis-Anguilla
,,"Bonaire, Saint Eustatius and Saba"
,,Tuvalu
