"Category","2.C.2 Ferroalloys Production"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","0.01","0.01","0.00","0.00","0.00","0.04","0.04","0.04","0.04","0.04","0.05","0.04","0.01","0.00","","","","","","0.01","","","",""
"Denmark","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","0.59","0.59","0.59","0.58","0.57","0.57","0.63","0.65","0.64","0.61","0.59","0.62","0.67","0.65","0.58","0.65","0.56","0.44","0.47","0.41","0.18","0.31","0.42","0.67"
"European Union (28)","0.60","0.60","0.59","0.58","0.57","0.62","0.67","0.69","0.69","0.66","0.64","0.67","0.67","0.65","0.58","0.65","0.56","0.44","0.48","0.41","0.18","0.31","0.42","0.67"
"Finland","","","","","","","","","","","","","","","","","","","","","","","",""
"France","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","0.28","0.28","0.29","0.28","0.20","0.29","0.31","0.32","0.32","0.27","0.24","0.31","0.32","0.35","0.32","0.33","0.35","0.32","0.33","0.29","0.15","0.25","0.33","0.34"
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","1.85","1.85","1.11","1.12","1.36","1.32","1.38","1.32","1.40","1.05","1.49","2.13","2.14","2.26","2.32","2.26","2.20","2.23","2.34","2.02","2.06","2.12","2.12","2.46"
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","12.02","12.02","9.69","7.78","9.52","10.00","10.38","9.45","9.04","8.97","9.08","9.32","7.99","6.47","6.12","7.59","6.49","4.02","4.64","5.88","3.51","5.71","6.14","5.68"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","","","","","","","","","","","","","","","","","","","","","","","",""
"Romania","","","","","","","","","","","","","","","","","","","","","","","",""
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","0.30","0.30","0.30","0.30","0.36","0.28","0.31","0.32","0.32","0.34","0.34","0.31","0.34","0.30","0.26","0.32","0.21","0.12","0.14","0.11","0.03","0.06","0.08","0.33"
"Switzerland","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
