"Category","7 Other"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","SO2"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Australia","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (15)","","","","","","","","","","","","","","","","","","","","","","","",""
"European Union (28)","3,210.00","3,210.00","2,995.00","2,820.00","2,725.00","2,605.00","2,376.00","2,368.00","2,181.00","1,897.00","1,719.00","1,445.39","1,429.69","1,324.34","1,280.60","1,242.85","1,232.83","1,310.76","1,223.11","1,001.13","866.54","950.38","910.05","853.30"
"Finland","","","","","","","","","","","","","","","","","","","","","","","",""
"France","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","4,180.00","3,210.00","2,995.00","2,820.00","2,725.00","2,605.00","2,376.00","2,368.00","2,181.00","1,897.00","1,719.00","1,445.39","1,429.69","1,324.34","1,280.60","1,242.85","1,232.83","1,310.76","1,223.11","1,001.13","866.54","950.38","910.05","853.30"
"Portugal","","","","","","","","","","","","","","","","","","","","","","","",""
"Romania","","","","","","","","","","","","","","","","","","","","","","","",""
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","","","","","","","","","","","","","","","","","","","","","","","",""
"Switzerland","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","","","","","","","","","","","","",""
"United States of America","","","","","","","","","","","","","","","","","","","","","","","",""
