Annual Net emissions/removals in kt
Query results for — Party: Annex I and 46 other(s) | Year: Base year and 32 other(s) | Category: Total GHG emissions without LULUCF and 117 other(s) | Classification: Total for category | Type of value: Net emissions/removals | Gas: CO | Unit: kt

 ,Year,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021)
Party,Category \ Unit,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt
Annex I,Total GHG emissions without LULUCF,230711.22254361305,226770.66492425595,218621.42208203766,210970.86739204198,202569.93241272357,197383.52774200498,190740.19875991996,185662.28829509075,179914.10669388116,175273.88545309106,161183.88258889335,161869.06918930018,155618.301085621,144336.26560386518,137754.31190257086,129461.3355453461,122741.91993169971,116032.70164253931,110950.9750986418,103358.3958910163,96722.8716965089,93602.8266915824,87667.30617744572,85714.13549526093,83371.9549503037,79603.88112570487,77630.5143562621,72272.10477887359,70796.37506279435,69019.77560709385,67548.28840847732,63784.518707830604,62355.906048429446
Annex I,Total GHG emissions with LULUCF,270786.4494522713,266844.84824593726,255555.70825592108,243708.36789245563,235648.17127880643,231395.27460777678,221458.6835277707,222079.08869043476,213032.71478055057,215889.84589780704,200295.0725857001,209245.46336071903,196296.22350930725,193527.8066350194,186688.4908007391,180410.3961796287,172148.57778025375,164910.60888575125,162999.36887090525,150374.82776539124,147252.9441225485,136608.56406466715,134298.4236121907,132105.58885008708,127381.26318390592,123057.85268834476,130669.92558518673,112658.8159202525,118935.49399583046,115900.28933923785,109999.55817471031,108159.27323323874,97223.53664388033
Annex I,1.  Energy,209234.98874494975,209148.23110371493,200962.23335031344,192646.43191080657,183860.7918516717,179114.07740384658,172789.74020761243,166046.31676237858,160912.80350545535,156429.58513553103,143824.63537840772,145243.14253628033,140167.0438641139,129689.72964542835,123286.39921806552,115483.47301725578,109138.35192223192,102338.01166978448,96504.81625190176,90021.328961195,84323.02197871183,80409.01597723957,74923.69055854427,72699.59932207971,70901.66310769525,67952.00025587014,65754.22035069554,60575.97699325075,59217.89753504692,57270.00839233611,56397.752334263794,52391.14705110417,51473.93689857113
Annex I,1.AA  Fuel Combustion - Sectoral approach,208620.91540538776,208542.29927440055,200370.12766153648,192043.7883300665,183249.54735886556,178506.001088137,172147.21873296003,165410.15639610236,160255.47158246732,155781.05870621352,143362.49639926435,144762.56379769638,139687.51546237292,128718.86174789182,122307.15364156064,114488.1616779728,108136.93345100724,101350.40045480366,95474.99690842407,88979.9893164833,83305.57813992379,79438.65375498518,73885.84014254692,71561.59957789737,69965.24223936227,66976.44271181483,64767.89048969463,59600.01293287254,58265.11578024925,56401.44904865607,55543.137004565055,51516.12111779752,50614.55310533721
Annex I,1.A.1  Energy Industries,1865.2269266719952,1839.8219828353676,1741.593622758207,1672.33073081518,1641.8815769669714,1649.7716450372077,1665.2592807458773,1652.5567735915015,1578.7103175913744,1664.2221904798337,1684.3595441828886,1728.4745940719467,1748.8815988070874,1908.8919398564815,1965.2209083435916,1996.7549578769463,2080.775978662012,2116.810756263137,2216.27822001448,2246.4889940792486,2220.341706158128,2329.5856338513545,2299.495487641908,2249.353773180404,2162.2536263208017,2102.344198270524,2018.1372305933505,2052.337634083448,2074.574252459461,1974.490775707124,1918.428043443805,1848.907319793371,1620.481341905616
Annex I,1.A.1.a  Public Electricity and Heat Production,1439.403445810687,1419.2838425283546,1340.2097252768344,1298.8344896308126,1277.5654859334863,1292.5666059123466,1316.7543912497172,1309.3899360559635,1247.149194769664,1332.936288764546,1367.4595497442535,1402.8868579964296,1425.9797342110246,1581.795792064679,1590.0889834400336,1593.9915995291447,1632.8435327656032,1637.4683723200728,1771.580998995529,1776.3750764620722,1717.7170099068674,1806.8077537866177,1863.44621058438,1829.969313581804,1770.1120526055186,1714.187994033758,1608.8046698043702,1627.759611462829,1625.0435832795051,1521.7382186132872,1434.8178383377438,1371.067200473332,1328.6208929862719
Annex I,1.A.1.b  Petroleum Refining,97.15384033168192,97.40958293426316,93.24371778410097,89.55346032928861,94.23484420760487,92.70625424140196,85.99668038443897,89.96652934686934,71.5670522210526,74.55055110442075,73.2783341785396,76.55656907155281,80.39716619707085,86.88812995320306,92.41842464001866,107.87583923012892,122.33787939532772,131.98489937451092,124.70979078558773,132.04979200829894,175.2568070172988,176.68996068661085,73.45403612316179,109.56557780852596,103.24074439070279,102.30576654854946,123.13868588299788,127.90407757231343,145.38670491614872,141.55856817032847,164.5412294949076,156.00358371595792,134.62783582517105
Annex I,1.A.1.c  Manufacture of Solid Fuels and Other Energy Industries,328.6696405296264,323.12855737274975,308.14017969727155,283.9427808550787,270.0812468258802,264.498784883459,262.50820911172127,253.20030818866866,259.99407060065784,256.735350610867,243.6216602600956,249.03116700396413,242.50469839899202,240.2080178385992,282.71350026353923,294.8875191176726,325.59456650108143,347.3574845685535,319.9874302333634,338.0641256088774,327.36788923396193,346.0879193781261,362.5952409343663,309.8188817900741,288.90082932458,285.85043768821623,286.19387490598245,296.67394504830554,304.1439642638072,311.19398892350824,319.0689756111537,321.8365356040813,157.23261309417316
Annex I,1.A.2  Manufacturing Industries and Construction,7620.8081296750615,7532.1369777340615,7172.654811760971,6877.129002799564,6835.791456533011,6743.801114678603,6628.542639093713,6445.704779133386,6567.009467778311,6521.832538557001,6306.066178213831,6588.229411623956,6301.745526643842,6483.51046153845,6628.8362093983005,6580.6772339670715,6433.838718194894,6413.617710364453,6551.230944583828,5757.335647239009,4999.716319322192,5402.883007332248,5034.556568096892,4906.410176851585,4830.520734869905,4895.94585139709,5112.235018057978,5334.3336130879825,5485.30733690017,5480.142447437518,5351.79451800488,5153.052928619298,5113.64744675086
