Annual Net emissions/removals in kt
Query results for — Party: Australia and 44 other(s) | Year: Base year and 29 other(s) | Category: 1.  Energy and 279 other(s) | Classification: Total for category | Type of value: Net emissions/removals | Gas: CO₂ | Unit: kt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Year,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Last Inventory Year (2018)
Party,Category \ Unit,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt
Australia,1.  Energy,259089.3481947119,259089.3481947119,261078.1906516115,265636.61915204104,269693.0229777521,272493.8737444171,283547.16657037276,290187.32179191406,298419.94556619506,311658.65937399166,320155.2737869909,326738.6554728935,334467.85834252834,338883.21822840965,344699.5165623125,357307.59390211746,362400.3798755721,367645.38790579786,373463.43679056066,378804.4983041619,384419.2661010086,379926.0461587335,377958.1542217825,383029.3313471064,376126.58127272414,372490.6362180664,379690.17373307346,389237.7461651843,392759.3281934194,393408.2232028682
Australia,1.AA  Fuel Combustion - Sectoral approach,251676.1790109114,251676.1790109114,253930.9648365228,258171.10954310844,262400.84184937493,265436.49453729356,276243.41553081735,283143.9159693259,291385.0228092652,304390.147459336,312666.1696389579,318461.1831898843,325972.1476556874,330511.87447323767,337196.4120797812,350140.1117483221,355151.1976425201,360279.4692388923,365629.63372060517,370991.6292516323,376056.5986259541,371338.80602835433,369725.41923319193,374388.14097971545,366943.64657428587,362821.06708645093,368571.557653932,376491.66566643724,377574.9770900305,376140.7417134007
Australia,1.A.1  Energy Industries,142550.6880303222,142550.6880303222,145798.89301365896,149113.8240087294,150856.9135622825,151678.65928030552,157480.76333664154,162065.77593256385,168676.29092605627,181227.96887543687,188414.6766763604,191300.61483432972,198481.43283902624,200598.67980759332,203856.49148273465,212923.57570974843,215219.58413056468,219705.33865122768,222727.8921506004,224490.41435401217,230787.7162197325,224948.31379071044,219013.47587323433,220698.0497217432,209453.34666179935,203218.6394711449,210135.58040479774,217307.72623949667,216609.14613508576,212312.79949155106
Australia,1.A.1.a  Public Electricity and Heat Production,129096.60814965138,129096.60814965138,131266.49804684884,134115.56597250214,135024.1985022261,136597.22925751473,142196.82489363404,147213.1990847517,152192.98492193455,164724.45122576054,170956.37450158867,174647.79812492387,181825.9398713667,183036.3598257037,185522.287113148,193871.65983439225,195666.71430423652,200199.5558661237,202966.71922491238,204797.83307240257,210253.9934235483,203738.57727862443,197146.01491714575,197716.67698493812,185720.37339608723,179408.6645308567,187753.380000396,193307.15955074513,188411.16339142923,181906.69708234622
Australia,1.A.1.b  Petroleum Refining,5512.070287493684,5512.070287493684,5741.477052676198,5637.982229731914,5990.356532359767,6199.494054517988,6333.404475184797,6176.066499771179,5802.589248010434,5935.29109719087,6782.599480913258,6152.227253670328,6264.26773025529,6190.78615343278,6045.7545502256,5521.26551086131,5463.88472373629,4907.45046763593,5319.77421833099,5110.70593306602,5191.892296225833,5285.28719826591,5684.298727237097,5141.383292456618,4899.393982220505,4582.60209640445,3853.209108820911,2951.891447386386,2982.321183597577,3075.199434062817
Australia,1.A.1.c  Manufacture of Solid Fuels and Other Energy Industries,7942.009593177138,7942.009593177138,8790.917914133932,9360.275806495341,9842.358527696662,8881.93596827281,8950.53396782269,8676.510348040985,10680.716756111284,10568.226552485467,10675.70269385846,10500.589455735533,10391.225237404245,11371.533828456862,12288.449819361073,13530.650364494883,14088.985102591889,14598.33231746804,14441.398707357017,14581.875348543586,15341.830499958387,15924.449313820123,16183.162228851488,17839.989444348474,18833.57928349161,19227.37284388376,18528.991295580847,21048.675241365156,25215.661560058936,27330.90297514202
Australia,1.A.1.c.i  Manufacture of Solid Fuels,2463.0016609634,2463.0016609634,3079.43461463017,3350.40807524239,3089.39944199657,2008.6589021365,1553.42250896236,814.536952348576,2288.45688541686,1488.22454085914,1633.19066352363,1120.41875058319,860.648368761957,1023.362012341385,1661.45709671985,1766.07744830316,1309.96033931149,1671.7744032268504,1954.4840093639991,1953.3324321831467,1829.3326553855295,2314.8090761356493,1662.5381669753042,2199.6431331208964,1836.2196936468554,1523.3052688002654,1044.9958237404733,1033.98710043008,1255.16872057326,717.286176141858
Australia,1.A.1.c.ii  Oil and Gas Extraction,4188.31033324511,4188.31033324511,4397.65362293432,4683.09582195259,5325.24215304109,5453.11147215568,6005.27647511939,6382.65719409638,6813.05599712889,7296.48051816989,7117.52879443641,7384.47437706564,7494.62084133312,8201.69951760387,6590.278820587391,7232.521697675733,7472.354556274497,8100.263134191196,7980.92920236287,8012.702365734764,8544.867476721929,8489.22202441513,8707.438636116036,8700.516999308555,9565.11292974524,10208.335408892406,10399.825675413413,12517.716451427828,15896.754613975992,17824.50735684054
Australia,1.A.1.c.iii  Other Energy Industries,1290.697598968628,1290.697598968628,1313.829676569442,1326.771909300362,1427.716932659002,1420.16559398063,1391.834983740941,1479.31620159603,1579.203873565533,1783.521493456437,1924.983235898421,1995.696328086704,2035.956027309169,2146.472298511608,4036.713902053831,4532.05121851599,5306.670207005902,4826.294780049994,4505.985495630148,4615.840550625676,4967.630367850928,5120.418213269342,5813.185425760148,6939.829311919021,7432.246660099512,7495.73216619109,7084.169796426963,7496.971689507246,8063.738225509683,8789.109442159624
