"Source","Sector","SubSector","2015","2016","2017","2018","2019","2020","2021"
"Ore and Mineral Industries","","","30902.019999999986","31302.239999999998","34840.67999999999","33861.47","33799.65","32879.22","37917.59"
"Ore and Mineral Industries","Aluminium Industry","","3329.86","3493.33","3435.41","3165.1699999999996","3163.4900000000002","3468.98","3649.42"
"Ore and Mineral Industries","Aluminium Industry","Alumina (Bauxite Refining)","44.8","43.5","42","40.7","22.9","22.4","23"
"Ore and Mineral Industries","Aluminium Industry","Primary Aluminium Smelting and Refining","3234.42","3400.88","3344.2","3076.83","3088.94","3402.97","3593.98"
"Ore and Mineral Industries","Aluminium Industry","Secondary Aluminium Production (Includes Recycling)","50.64","48.95","49.21","47.64","51.65","43.61","32.44"
"Ore and Mineral Industries","Asphalt Paving Industry","","1368.84","1309.58","1431.3","1356.82","1334.11","1256.84","1323.88"
"Ore and Mineral Industries","Asphalt Paving Industry","Asphalt Paving Industry","1368.84","1309.58","1431.3","1356.82","1334.11","1256.84","1323.88"
"Ore and Mineral Industries","Cement and Concrete Industry","","7913.79","7229.16","8041.969999999999","7979.330000000001","7797.08","7149.7","8295.63"
"Ore and Mineral Industries","Cement and Concrete Industry","Cement Manufacturing","951.9","792.47","685.87","800.64","687.68","549.59","748.37"
"Ore and Mineral Industries","Cement and Concrete Industry","Concrete Batching and Products","6420.41","5913.11","6825.42","6653.54","6540.34","6088.58","7051.82"
"Ore and Mineral Industries","Cement and Concrete Industry","Gypsum Product Manufacturing","71.43","78.33","97.99","86.89","88.29","88.36","72.09"
"Ore and Mineral Industries","Cement and Concrete Industry","Lime Manufacturing","470.05","445.25","432.69","438.26","480.77","423.17","423.35"
"Ore and Mineral Industries","Foundries","","4152.46","4085.04","4216.830000000001","4183.49","3986.83","3737.6099999999997","4038.92"
"Ore and Mineral Industries","Foundries","Die Casting","9.57","9.43","10.85","10.65","8.64","8.27","8.85"
"Ore and Mineral Industries","Foundries","Ferrous Foundries","4128.96","4062.03","4192.56","4159.16","3961.8","3716.72","4017.77"
"Ore and Mineral Industries","Foundries","Non-ferrous Foundries","13.93","13.58","13.42","13.68","16.39","12.62","12.3"
"Ore and Mineral Industries","Iron and Steel Industry","","2376.29","2196.4100000000003","2524.66","2661.81","2685.43","2149.55","2295.8799999999997"
"Ore and Mineral Industries","Iron and Steel Industry","Primary (Blast furnace and DRI)","2032.65","1831.21","2108.02","2318.06","2396.9","1904.69","1991.87"
"Ore and Mineral Industries","Iron and Steel Industry","Secondary (Electric Arc Furnaces)","340.41","362.05","413.47","337.09","281.18","237.82","295.53"
"Ore and Mineral Industries","Iron and Steel Industry","Steel Recycling","3.23","3.15","3.17","6.66","7.35","7.04","8.48"
"Ore and Mineral Industries","Iron Ore Pelletizing","","828.67","895.18","785.26","691.52","786","675.88","626.31"
"Ore and Mineral Industries","Iron Ore Pelletizing","Iron Ore Pelletizing","828.67","895.18","785.26","691.52","786","675.88","626.31"
"Ore and Mineral Industries","Mineral Products Industry","","324.9","292.77","227.87","286.1","227.26999999999998","225.32","283.8"
"Ore and Mineral Industries","Mineral Products Industry","Brick Products","32.69","25.25","24.98","22.02","21.1","30.28","30.91"
"Ore and Mineral Industries","Mineral Products Industry","Clay Products","6.28","5.5","4.03","5.58","3.75","3.08","3.45"
"Ore and Mineral Industries","Mineral Products Industry","Other (Mineral Products Industry)","285.93","262.02","198.86","258.5","202.42","191.96","249.44"
"Ore and Mineral Industries","Mining and Rock Quarrying","","8503.91","10052.61","12872.82","12529.68","13166.45","13649.740000000002","16872.93"
"Ore and Mineral Industries","Mining and Rock Quarrying","Coal Mining Industry","1014.71","2130.31","5093.25","4288.6","5664.32","6179.88","8957.49"
"Ore and Mineral Industries","Mining and Rock Quarrying","Iron Ore Mining","117.78","143.29","158.12","184.53","331.56","464","521.61"
"Ore and Mineral Industries","Mining and Rock Quarrying","Limestone","75.78","70.17","68.05","74.26","75.96","54.64","50.17"
"Ore and Mineral Industries","Mining and Rock Quarrying","Metal Mining","3490.74","3633.36","3597.99","3651.21","3431.99","3346.66","3239.8"
"Ore and Mineral Industries","Mining and Rock Quarrying","Potash","1529.03","1545.69","1558.86","1725.18","1645.7","1662.78","1891.88"
"Ore and Mineral Industries","Mining and Rock Quarrying","Rock, Sand and Gravel","1930.32","2202.82","2003.68","2173.94","1638.88","1613.36","1834.1"
"Ore and Mineral Industries","Mining and Rock Quarrying","Silica Production","10.27","11.28","12.71","24.32","20.92","20.23","23.24"
"Ore and Mineral Industries","Mining and Rock Quarrying","Other (Mining and Rock Quarrying)","335.28","315.69","380.16","407.64","357.12","308.19","354.64"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","","2103.3000000000006","1748.1599999999999","1304.5599999999997","1007.55","652.99","565.6","530.8199999999999"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","Primary Ni, Cu, Zn, Pb","2094.28","1739.59","1294.34","997.36","642.78","555.98","520.91"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","Secondary Pb, Cu","4.76","4.45","5.86","5.55","5.38","4.57","4.91"
"Ore and Mineral Industries","Non-Ferrous Refining and Smelting Industry","Other (Non-Ferrous Refining and Smelting Industry)","4.26","4.12","4.36","4.64","4.83","5.05","5"
"Oil and Gas Industry","","","11683.72","10691.1","12009.13","12052.59","11945.680000000002","12367.24","14280.06"
"Oil and Gas Industry","Downstream Oil and Gas Industry","","1411.32","1458.59","1463.8200000000002","1568.54","1456.6100000000001","1468.9099999999999","1315.76"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Petroleum Refining","1408.57","1456.13","1456.96","1562.14","1430.13","1463.05","1309.11"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Refined Petroleum Products Bulk Storage and Distribution","0","0","4.44","3.86","23.77","3.59","4.39"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Refined Petroleum Product Pipelines","0","0","0","0","0","0","0"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Natural Gas Distribution","1.83","1.84","1.9","1.87","1.83","1.22","1.43"
"Oil and Gas Industry","Downstream Oil and Gas Industry","Other (Downstream Oil and Gas Industry)","0.92","0.62","0.52","0.67","0.88","1.05","0.83"
"Oil and Gas Industry","Upstream Oil and Gas Industry","","10272.400000000001","9232.51","10545.31","10484.050000000001","10489.070000000002","10898.33","12964.300000000001"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Accidents and Equipment Failures","0","0","0","0","0","0","0"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Disposal and Waste Treatment","21.69","16.56","18.39","18.64","18.25","25.41","28.94"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Heavy Crude Oil Cold Production","503.74","538.26","596","453.06","348.09","416.55","537.21"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Light/Medium Crude Oil Production","3555.59","2824.62","2886.94","3182.67","2960.47","2717.98","2739.62"
"Oil and Gas Industry","Upstream Oil and Gas Industry","Natural Gas Production and Processing","2619.43","2385.23","2521.7","2548.39","2662.49","3140.24","3365.17"
