"Source","Sector","SubSector","1990","1991","1992","1993","1994","1995","1996"
"Ore and Mineral Industries","","","1809.9700000000003","1814.9400000000003","1846.28","1870.09","1888.34","3065.4799999999996","3482.53"
"Ore and Mineral Industries","Aluminium Industry","","29.400000000000002","30.01","29.85","29.860000000000003","30.4","28.64","30.900000000000002"
"Ore and Mineral Industries","Aluminium Industry","Alumina (Bauxite Refining)","24.42","24.42","24.42","24.42","24.42","24.42","24.42"
"Ore and Mineral Industries","Aluminium Industry","Primary Aluminium Smelting and Refining","3.6","4.23","4.05","4.07","4.26","3.11","4.94"
"Ore and Mineral Industries","Aluminium Industry","Secondary Aluminium Production (Includes Recycling)","1.38","1.36","1.38","1.37","1.72","1.11","1.54"
"Ore and Mineral Industries","Asphalt Paving Industry","","3.18","3.18","3.16","3.18","3.18","3.18","3.01"
"Ore and Mineral Industries","Asphalt Paving Industry","Asphalt Paving Industry","3.18","3.18","3.16","3.18","3.18","3.18","3.01"
"Ore and Mineral Industries","Cement and Concrete Industry","","596.6899999999999","595.55","599.86","604.3799999999999","608.92","617.66","610.41"
"Ore and Mineral Industries","Cement and Concrete Industry","Cement Manufacturing","566.76","566.76","566.76","566.76","566.76","566.76","566.76"
"Ore and Mineral Industries","Cement and Concrete Industry","Concrete Batching and Products","0.65","0.65","0.65","0.65","0.65","0.65","0.65"
"Ore and Mineral Industries","Cement and Concrete Industry","Gypsum Product Manufacturing","2.18","2.13","2.62","3.04","2.97","3.74","3.52"
"Ore and Mineral Industries","Cement and Concrete Industry","Lime Manufacturing","27.1","26.01","29.83","33.93","38.54","46.51","39.48"
"Ore and Mineral Industries","Foundries","","15.799999999999999","15.77","15.68","16.380000000000003","16.16","16.9","17.22"
"Ore and Mineral Industries","Foundries","Die Casting","0.45","0.45","0.42","0.56","0.49","0.64","0.72"
"Ore and Mineral Industries","Foundries","Ferrous Foundries","13.59","13.57","13.59","13.65","13.74","13.75","13.7"
"Ore and Mineral Industries","Foundries","Non-ferrous Foundries","1.76","1.75","1.67","2.17","1.93","2.51","2.8"
"Ore and Mineral Industries","Iron and Steel Industry","","202.17000000000002","208.26","222.82","234.08","240.69","298.55","343.65999999999997"
"Ore and Mineral Industries","Iron and Steel Industry","Primary (Blast furnace and DRI)","101.59","105.45","113.93","120.26","122.98","184.2","223.41"
"Ore and Mineral Industries","Iron and Steel Industry","Secondary (Electric Arc Furnaces)","100.45","102.68","108.77","113.66","117.57","114.17","120.04"
"Ore and Mineral Industries","Iron and Steel Industry","Steel Recycling","0.13","0.13","0.12","0.16","0.14","0.18","0.21"
"Ore and Mineral Industries","Iron Ore Pelletizing","","150.09","150.09","150.09","150.09","150.09","150.09","150.09"
"Ore and Mineral Industries","Iron Ore Pelletizing","Iron Ore Pelletizing","150.09","150.09","150.09","150.09","150.09","150.09","150.09"
"Ore and Mineral Industries","Mineral Products Industry","","84.02","83.91","83.5","87.77","86.23","183.09","129.36"
"Ore and Mineral Industries","Mineral Products Industry","Brick Products","0.33","0.32","0.31","0.41","0.35","0.47","0.53"
"Ore and Mineral Industries","Mineral Products Industry","Clay Products","40.9","40.89","40.92","40.97","41.02","41.1","41.03"
"Ore and Mineral Industries","Mineral Products Industry","Other (Mineral Products Industry)","42.79","42.7","42.27","46.39","44.86","141.52","87.8"
"Ore and Mineral Industries","Mining and Rock Quarrying","","521.59","521.59","522.48","522.71","522.7","532.5","542.69"
